archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,131,114,3,0,255,0,0
Regular,3,307,401,2,1,801,0,0
Hardcore,3,726,726,0,3,2546,0,0
Hoarder,3,427,500,2,1,1062,0,0
"Early Locker",3,311,313,3,0,605,0,0
"Late Deployer",3,642,644,0,3,2075,0,0
Boost-Focused,3,636,637,0,3,2055,0,0
Star-Focused,3,556,554,0,3,1794,0,0
"Aggressive Sigil User",3,488,612,1,2,1476,0,0
"Mostly Idle",3,148,198,1,2,438,0,0
