player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,2,6,0,5157,0,0,2,0,7.5
2,Casual,4,4,1,11864,0,0,4,0,6.25
3,Casual,3,5,2,10751,0,0,3,0,4.6667
4,Regular,4,4,1,18456,0,0,4,0,4.25
5,Regular,4,4,1,13210,0,0,4,0,6.25
6,Regular,3,5,1.5,7143,0,0,3,0,8.3333
7,Hardcore,3,5,2,10421,168,0,0,3,8.6667
8,Hardcore,3,5,2.5,8604,112,0,1,2,9.6667
9,Hardcore,3,5,1.5,14567,56,0,2,1,6.3333
10,Hoarder,2,6,3,14090,0,0,2,0,4
11,Hoarder,2,6,3,15839,0,0,2,0,2.5
12,Hoarder,5,3,0.75,32729,0,0,5,0,2.8
13,"Early Locker",3,5,1.5,7412,0,0,3,0,9
14,"Early Locker",7,1,0,24837,0,0,7,0,6.5714
15,"Early Locker",4,4,0.3333,13902,0,0,4,0,5.5
16,"Late Deployer",3,5,1.5,16012,0,0,3,0,5
17,"Late Deployer",4,4,1,20614,0,0,4,0,4.25
18,"Late Deployer",3,5,2,4881,56,0,2,1,13
19,Boost-Focused,3,5,1.5,9431,56,0,2,1,9.6667
20,Boost-Focused,2,6,3,5704,112,0,0,2,12
21,Boost-Focused,3,5,1.5,8912,112,0,1,2,9.3333
22,Star-Focused,3,5,1,24685,0,0,3,0,2.6667
23,Star-Focused,3,5,1.5,13558,0,0,3,0,6
24,Star-Focused,4,4,1,16272,0,0,4,0,4.5
25,"Aggressive Sigil User",3,5,2,8836,56,0,2,1,8.6667
26,"Aggressive Sigil User",2,6,4,6839,0,0,2,0,6.5
27,"Aggressive Sigil User",4,4,1.3333,12230,56,0,3,1,7
28,"Mostly Idle",1,7,0,1174,0,0,1,0,12
29,"Mostly Idle",4,4,0.3333,13825,0,0,4,0,6.25
30,"Mostly Idle",2,6,1,5166,0,0,2,0,8
