player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,3,2,1,2890,0,0,3,0,6
2,Casual,2,3,2,3626,0,0,2,0,3
3,Regular,2,3,2,1342,0,0,2,0,3.5
4,Regular,3,2,0.5,1020,0,0,3,0,7
5,Hardcore,2,3,2,1078,56,0,1,1,10
6,Hardcore,2,3,1,1120,56,0,1,1,7.5
7,Hoarder,1,4,0,677,0,0,1,0,12
8,Hoarder,2,3,1,2847,0,0,2,0,4
9,"Early Locker",2,3,2,2082,0,0,2,0,4
10,"Early Locker",3,2,1,4179,0,0,3,0,3
11,"Late Deployer",1,4,0,516,0,0,1,0,6
12,"Late Deployer",3,2,1,5253,0,0,3,0,3.3333
13,Boost-Focused,1,4,0,265,56,0,0,1,14
14,Boost-Focused,2,3,2,1623,56,0,1,1,8
15,Star-Focused,2,3,1,2481,0,0,2,0,3
16,Star-Focused,2,3,1,481,0,0,2,0,6
17,"Aggressive Sigil User",2,3,1,1004,0,0,2,0,8.5
18,"Aggressive Sigil User",2,3,1,2349,0,0,2,0,1
19,"Mostly Idle",3,2,1,3473,0,0,3,0,4
20,"Mostly Idle",2,3,3,1539,0,0,2,0,6.5
