player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Regular,2,2,1,2935,0,0,2,0,2
2,Regular,2,2,1,2797,0,0,2,0,3
3,Hardcore,2,2,2,1173,112,40,0,2,4
4,Hardcore,2,2,1,1604,0,0,2,0,4
5,"Early Locker",1,3,0,2028,0,0,1,0,1
6,"Early Locker",4,0,0,3770,0,0,4,0,2.5
7,"Late Deployer",1,3,0,461,56,0,0,1,6
8,"Late Deployer",2,2,1,2870,0,0,2,0,2
9,"Aggressive Sigil User",2,2,1,1971,56,0,1,1,2.5
10,"Aggressive Sigil User",1,3,0,285,56,0,0,1,5
