player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,3,2,1,2902,0,0,3,0,5.3333
2,Casual,2,3,2,3628,0,0,2,0,3.5
3,Regular,2,3,2,1345,0,0,2,0,3.5
4,Regular,3,2,0.5,1022,0,0,3,0,6.6667
5,Hardcore,2,3,2,1278,56,0,1,1,9
6,Hardcore,2,3,1,1346,56,0,1,1,6.5
7,Hoarder,1,4,0,677,0,0,1,0,11
8,Hoarder,2,3,1,2815,0,0,2,0,4.5
9,"Early Locker",2,3,2,1471,0,0,2,0,7
10,"Early Locker",3,2,1,4200,0,0,3,0,2.3333
11,"Late Deployer",1,4,0,516,0,0,1,0,6
12,"Late Deployer",3,2,1,5798,0,0,3,0,3
13,Boost-Focused,1,4,0,330,56,0,0,1,14
14,Boost-Focused,2,3,2,1678,56,0,1,1,7
15,Star-Focused,2,3,1,1142,0,0,2,0,8
16,Star-Focused,2,3,1,588,0,0,2,0,6
17,"Aggressive Sigil User",2,3,1,1655,0,0,2,0,8
18,"Aggressive Sigil User",2,3,1,2350,0,0,2,0,1
19,"Mostly Idle",3,2,1,3476,0,0,3,0,3.3333
20,"Mostly Idle",2,3,3,1539,0,0,2,0,5.5
