player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,2,2,1,2668,0,0,2,0,5
2,Casual,2,2,1,389,0,0,2,0,9
3,Regular,2,2,1,2145,0,0,2,0,6
4,Regular,3,1,0.5,3702,0,0,3,0,4
5,Hardcore,2,2,1,2885,0,0,2,0,3.5
6,Hardcore,2,2,1,607,56,0,1,1,7
7,Hoarder,3,1,0.5,6726,0,0,3,0,2.6667
8,Hoarder,2,2,1,2756,0,0,2,0,2.5
9,"Early Locker",2,2,0,271,0,0,2,0,9.5
10,"Early Locker",3,1,0,2303,0,0,3,0,5
11,"Late Deployer",0,4,0,0,0,0,0,0,0
12,"Late Deployer",2,2,1,1346,56,0,1,1,8
13,Boost-Focused,2,2,1,1247,0,0,2,0,6
14,Boost-Focused,2,2,1,1035,0,0,2,0,7.5
15,Star-Focused,2,2,2,3787,0,0,2,0,4
16,Star-Focused,1,3,0,2050,0,0,1,0,1
17,"Aggressive Sigil User",1,3,0,3396,0,0,1,0,2
18,"Aggressive Sigil User",2,2,1,1131,0,0,2,0,6
19,"Mostly Idle",2,2,0,432,0,0,2,0,8
20,"Mostly Idle",2,2,1,2321,0,0,2,0,5
