archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,917,543,2,0,1191,0,0
Regular,2,1666,160,1,1,2277,0,0
Hardcore,2,316,226,1,1,546,0,0
Hoarder,2,1061,294,2,0,1379,0,0
"Early Locker",2,1385,435,2,0,1800,0,0
"Late Deployer",2,366,363,2,0,474,0,1
Boost-Focused,2,2135,1099,2,0,2775,0,0
Star-Focused,2,1675,1650,2,0,2177,0,0
"Aggressive Sigil User",2,6082,3093,2,0,7906,0,0
"Mostly Idle",2,1087,270,2,0,1413,0,0
