archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,919,545,2,0,1195,0,0
Regular,2,1130,1088,2,0,1469,0,0
Hardcore,2,578,468,1,1,971,0,0
Hoarder,2,1466,1103,2,0,1904,0,1
"Early Locker",2,1387,437,2,0,1803,0,0
"Late Deployer",2,327,326,0,2,766,0,0
Boost-Focused,2,2136,1099,2,0,2777,0,0
Star-Focused,2,1208,587,2,0,1570,0,0
"Aggressive Sigil User",2,4997,264,1,1,6645,0,0
"Mostly Idle",2,1092,277,2,0,1420,0,0
