archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,674,560,2,0,876,0,0
Regular,2,1768,1451,2,0,2298,0,0
Hardcore,2,358,210,1,1,595,0,0
Hoarder,2,1041,1025,2,0,1353,0,0
"Early Locker",2,1580,1108,2,0,2053,0,0
"Late Deployer",2,2185,808,2,0,2840,0,0
Boost-Focused,2,204,202,0,2,520,0,0
Star-Focused,2,1356,609,2,0,1761,0,0
"Aggressive Sigil User",2,301,192,1,1,515,0,0
"Mostly Idle",2,1422,1319,2,0,1848,0,0
