player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,2,6,0,1509,0,0,2,0,8.5
2,Casual,4,4,1,4654,0,0,4,0,5.25
3,Casual,3,5,2,1803,56,0,2,1,8.6667
4,Regular,4,4,1,3137,0,0,4,0,7.75
5,Regular,4,4,1,3363,56,0,3,1,6.75
6,Regular,3,5,1.5,2917,56,0,2,1,6.6667
7,Hardcore,3,5,1.5,1329,112,0,1,2,10.3333
8,Hardcore,4,4,1.3333,3767,0,0,4,0,7.25
9,Hardcore,3,5,1.5,1517,56,0,2,1,8.3333
10,Hoarder,2,6,3,3043,0,0,2,0,4.5
11,Hoarder,3,5,1.5,3566,0,0,3,0,5.3333
12,Hoarder,5,3,0.75,8946,0,0,5,0,2.6
13,"Early Locker",3,5,1.5,738,0,0,3,0,11
14,"Early Locker",7,1,0,5427,0,0,7,0,7.1429
15,"Early Locker",4,4,0.3333,3994,0,0,4,0,6.75
16,"Late Deployer",3,5,1.5,4508,0,0,3,0,4
17,"Late Deployer",4,4,1,4462,0,0,4,0,5.75
18,"Late Deployer",3,5,2,3769,0,0,3,0,7
19,Boost-Focused,3,5,1.5,1232,0,0,3,0,9.6667
20,Boost-Focused,3,5,2,2738,112,0,1,2,7.6667
21,Boost-Focused,2,6,2,533,112,0,0,2,12.5
22,Star-Focused,3,5,1,6091,0,0,3,0,3
23,Star-Focused,3,5,1.5,2690,0,0,3,0,5
24,Star-Focused,4,4,1,5104,0,0,4,0,4
25,"Aggressive Sigil User",4,4,1.3333,4947,0,0,4,0,5.5
26,"Aggressive Sigil User",3,5,1.5,2473,0,0,3,0,7
27,"Aggressive Sigil User",3,5,1.5,3441,56,0,2,1,7.6667
28,"Mostly Idle",1,7,0,102,0,0,1,0,16
29,"Mostly Idle",4,4,0.3333,3374,0,0,4,0,5.25
30,"Mostly Idle",2,6,1,311,0,0,2,0,12
