player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,2,6,0,1516,0,0,2,0,6.5
2,Casual,4,4,1,4659,0,0,4,0,5.25
3,Casual,3,5,2,1859,56,0,2,1,7.6667
4,Regular,4,4,1,3225,0,0,4,0,6.75
5,Regular,4,4,1,3789,56,0,3,1,5.25
6,Regular,3,5,1.5,835,56,0,2,1,10.3333
7,Hardcore,3,5,1.5,1965,112,0,1,2,9.6667
8,Hardcore,4,4,1.3333,4069,0,0,4,0,7
9,Hardcore,3,5,2,2061,112,0,1,2,7.3333
10,Hoarder,2,6,3,3043,0,0,2,0,3.5
11,Hoarder,3,5,1.5,3534,0,0,3,0,4.3333
12,Hoarder,5,3,0.75,8784,0,0,5,0,2.4
13,"Early Locker",3,5,1.5,680,0,0,3,0,9.6667
14,"Early Locker",6,2,0.2,7185,0,0,6,0,5.1667
15,"Early Locker",4,4,0.3333,4025,0,0,4,0,6.75
16,"Late Deployer",3,5,1.5,4539,0,0,3,0,4.3333
17,"Late Deployer",4,4,1.3333,2841,56,0,3,1,7.25
18,"Late Deployer",3,5,2,3808,0,0,3,0,6.3333
19,Boost-Focused,3,5,2,1010,168,0,0,3,11.3333
20,Boost-Focused,3,5,2,2932,112,0,1,2,8.3333
21,Boost-Focused,2,6,2,702,112,0,0,2,12.5
22,Star-Focused,3,5,1,6235,0,0,3,0,2.6667
23,Star-Focused,3,5,1.5,3440,0,0,3,0,5.3333
24,Star-Focused,4,4,1,4415,0,0,4,0,5.75
25,"Aggressive Sigil User",3,5,1.5,3043,56,0,2,1,8.3333
26,"Aggressive Sigil User",3,5,1.5,2475,0,0,3,0,6
27,"Aggressive Sigil User",3,5,1.5,4173,56,0,2,1,7
28,"Mostly Idle",1,7,0,102,0,0,1,0,16
29,"Mostly Idle",4,4,0.3333,3378,0,0,4,0,5.75
30,"Mostly Idle",2,6,1,384,0,0,2,0,12
