archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,1072,1323,3,0,2090,0,0
Regular,3,522,385,2,1,1121,0,0
Hardcore,3,374,409,2,1,864,0,0
Hoarder,3,3386,2167,3,0,6603,0,0
"Early Locker",3,996,484,3,0,1941,0,0
"Late Deployer",3,938,1049,2,1,1924,0,0
Boost-Focused,3,307,205,1,2,851,0,0
Star-Focused,3,2191,2861,3,0,4271,0,0
"Aggressive Sigil User",3,1490,1156,3,0,2905,0,0
"Mostly Idle",3,1466,1607,3,0,2858,0,0
