archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,1074,1323,3,0,2092,0,0
Regular,3,528,392,2,1,1137,0,0
Hardcore,3,389,421,2,1,899,0,0
Hoarder,3,3386,2167,3,0,6603,0,0
"Early Locker",3,999,486,3,0,1946,0,0
"Late Deployer",3,941,1049,2,1,1932,0,0
Boost-Focused,3,317,221,1,2,882,0,0
Star-Focused,3,2198,2869,3,0,4285,0,0
"Aggressive Sigil User",3,1491,1157,3,0,2907,0,0
"Mostly Idle",3,1466,1607,3,0,2858,0,0
