archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,1074,1323,3,0,2093,0,0
Regular,3,529,393,2,1,1141,0,0
Hardcore,3,394,425,2,1,911,0,0
Hoarder,3,3386,2167,3,0,6603,0,0
"Early Locker",3,999,486,3,0,1946,0,0
"Late Deployer",3,942,1049,2,1,1935,0,0
Boost-Focused,3,320,226,1,2,892,0,0
Star-Focused,3,2201,2871,3,0,4292,0,0
"Aggressive Sigil User",3,1491,1157,3,0,2907,0,0
"Mostly Idle",3,1467,1608,3,0,2859,0,0
