archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,1072,1324,3,0,2090,0,0
Regular,3,613,428,2,1,1378,0,0
Hardcore,3,777,539,1,2,1974,0,1
Hoarder,3,3386,2167,3,0,6603,0,0
"Early Locker",3,1057,488,3,0,2061,0,0
"Late Deployer",3,1004,1050,2,1,2121,0,0
Boost-Focused,3,422,311,1,2,1142,0,0
Star-Focused,3,2533,2974,3,0,4940,0,0
"Aggressive Sigil User",3,1492,1158,3,0,2908,0,0
"Mostly Idle",3,1470,1609,3,0,2865,0,0
