archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,1372,1764,3,0,2675,0,0
Regular,3,3955,2339,3,0,7711,0,0
Hardcore,3,1695,1215,3,0,3304,0,0
Hoarder,3,5401,3058,3,0,10531,0,0
"Early Locker",3,1485,1151,3,0,2895,0,0
"Late Deployer",3,845,358,2,1,1745,0,0
Boost-Focused,3,1167,210,1,2,2530,0,0
Star-Focused,3,2802,2349,3,0,5462,0,0
"Aggressive Sigil User",3,1226,1191,3,0,2390,0,1
"Mostly Idle",3,2216,1556,3,0,4321,0,0
