archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,1373,1764,3,0,2676,0,0
Regular,3,3957,2339,3,0,7716,0,0
Hardcore,3,1701,1223,3,0,3315,0,0
Hoarder,3,5401,3058,3,0,10531,0,0
"Early Locker",3,1487,1152,3,0,2898,0,0
"Late Deployer",3,848,363,2,1,1753,0,0
Boost-Focused,3,1174,220,1,2,2550,0,0
Star-Focused,3,2807,2354,3,0,5474,0,0
"Aggressive Sigil User",3,1226,1191,3,0,2390,0,1
"Mostly Idle",3,2217,1556,3,0,4322,0,0
