archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,1373,1764,3,0,2677,0,0
Regular,3,3959,2339,3,0,7720,0,0
Hardcore,3,1705,1230,3,0,3324,0,0
Hoarder,3,5401,3058,3,0,10531,0,0
"Early Locker",3,1489,1155,3,0,2902,0,0
"Late Deployer",3,852,367,2,1,1762,0,0
Boost-Focused,3,1180,229,1,2,2568,0,0
Star-Focused,3,2812,2358,3,0,5482,0,0
"Aggressive Sigil User",3,1226,1191,3,0,2391,0,1
"Mostly Idle",3,2217,1556,3,0,4323,0,0
