player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,8,1.6667,3033,0,0,4,0,20.25
2,Casual,4,8,2,3698,0,0,4,0,15.5
3,Casual,7,5,0.5,6940,0,0,7,0,20
4,Casual,5,7,1.25,6448,0,0,5,0,22.8
5,Casual,9,3,0.25,10602,0,0,9,0,19.5556
6,Casual,6,6,0.8,12988,0,0,6,0,15.1667
7,Casual,5,7,1.5,4493,0,0,5,0,17.2
8,Casual,6,6,1.2,5534,0,0,6,0,21.3333
9,Casual,5,7,1.25,2356,0,0,5,0,25.8
10,Casual,4,8,2.6667,6416,0,0,4,0,13
11,Regular,6,6,1.2,7008,0,0,6,0,14.3333
12,Regular,6,6,1,6442,56,0,5,1,21
13,Regular,6,6,0.8,9461,0,0,6,0,21.3333
14,Regular,6,6,1,9886,0,0,6,0,17.3333
15,Regular,6,6,1,7429,0,0,6,0,21.5
16,Regular,4,8,2.3333,6644,0,0,4,0,19.75
17,Regular,5,7,1.25,3766,0,0,5,0,23
18,Regular,4,8,1.3333,5476,0,0,4,0,16.5
19,Regular,4,8,2.3333,3554,0,0,4,0,20.25
20,Regular,4,8,2.6667,1879,0,0,4,0,29.75
21,Hardcore,5,7,1.5,7792,56,0,4,1,21.8
22,Hardcore,5,7,1.5,2864,56,0,4,1,23.6
23,Hardcore,4,8,2,1480,0,0,4,0,34.75
24,Hardcore,4,8,2,2882,56,0,3,1,25.25
25,Hardcore,4,8,2,1107,168,0,1,3,34.25
26,Hardcore,5,7,1.5,4858,56,0,4,1,23.6
27,Hardcore,5,7,1.5,9887,0,0,5,0,16.2
28,Hardcore,5,7,1.25,1854,56,0,4,1,31.4
29,Hardcore,6,6,1.2,4287,0,0,6,0,24.6667
30,Hardcore,4,8,2,2089,56,0,3,1,22.25
31,Hoarder,5,7,1.5,9754,0,0,5,0,12.8
32,Hoarder,3,9,3,8864,0,0,3,0,4
33,Hoarder,5,7,1,11010,0,0,5,0,6.8
34,Hoarder,6,6,1,11584,0,0,6,0,12.1667
35,Hoarder,5,7,1.75,16786,0,0,5,0,11
36,Hoarder,3,9,3,2846,0,0,3,0,20
37,Hoarder,4,8,1.6667,9083,0,0,4,0,19.5
38,Hoarder,5,7,1.25,10419,0,0,5,0,7.6
39,Hoarder,5,7,1.25,12212,0,0,5,0,13
40,Hoarder,6,6,1.2,16325,0,0,6,0,6
41,"Early Locker",7,5,0.6667,6447,0,0,7,0,21.1429
42,"Early Locker",5,7,1,3576,0,0,5,0,23.8
43,"Early Locker",8,4,0.4286,6009,0,0,8,0,22.625
