archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,15499,14976,5,0,50372,15,0
Regular,5,18599,18009,5,0,60447,28,2
Hardcore,5,21828,21264,2,3,93233,5,0
Hoarder,5,13335,12691,5,0,43337,47,0
"Early Locker",5,15450,15266,5,0,50209,10,0
"Late Deployer",5,20164,19909,1,4,93020,21,0
Boost-Focused,5,18002,17883,0,5,90290,9,0
Star-Focused,5,20555,22245,5,0,66803,37,0
"Aggressive Sigil User",5,17133,17690,2,3,72566,23,0
"Mostly Idle",5,12759,11648,5,0,41467,22,0
