archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1315,1004,10,0,8543,0,0
Regular,10,2237,2008,10,0,14541,0,0
Hardcore,10,448,132,6,4,3199,0,0
Hoarder,10,2511,2160,10,0,16321,0,0
"Early Locker",10,1751,1359,10,0,11376,0,0
"Late Deployer",10,2443,1012,9,1,15939,0,0
Boost-Focused,10,195,41,5,5,1620,0,1
Star-Focused,10,2579,2069,10,0,16762,0,0
"Aggressive Sigil User",10,994,330,9,1,6525,0,0
"Mostly Idle",10,771,602,10,0,5012,0,0
