archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2650,2577,18,2,36117,1,0
Regular,20,3770,4039,13,7,59353,0,3
Hardcore,20,6242,6251,0,20,126067,2,0
Hoarder,20,3441,3409,17,3,48849,1,0
"Early Locker",20,3230,3010,20,0,41991,0,0
"Late Deployer",20,3299,3322,4,16,62556,1,0
Boost-Focused,20,6097,5959,3,17,115617,1,3
Star-Focused,20,3845,3905,20,0,49986,0,2
"Aggressive Sigil User",20,4954,4993,4,16,93874,1,1
"Mostly Idle",20,2378,2479,20,0,30912,0,0
