player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,8,1.6667,356,112,0,2,2,24.75
2,Casual,3,9,1.5,838,56,0,2,1,14.3333
3,Casual,5,7,1.5,437,112,0,3,2,26.6
4,Casual,3,9,3.5,302,112,0,1,2,40.3333
5,Casual,5,7,1.25,6348,0,0,5,0,21
6,Casual,4,8,2,2361,168,0,1,3,15.75
7,Casual,5,7,1.5,1769,112,0,3,2,16
8,Casual,4,8,2.6667,429,164,0,1,3,32.75
9,Casual,4,8,1.6667,1198,56,0,3,1,19.25
10,Casual,3,9,4.5,440,112,0,1,2,32
11,Regular,5,7,1.75,1318,112,0,3,2,18.4
12,Regular,4,8,2,484,112,0,2,2,27.5
13,Regular,5,7,1.25,1890,168,0,2,3,18.6
14,Regular,5,7,1.75,574,112,0,3,2,27.8
15,Regular,4,8,2,600,168,0,1,3,26
16,Regular,4,8,2.6667,477,112,0,2,2,30.25
17,Regular,4,8,2,383,56,0,3,1,32
18,Regular,4,8,1.3333,677,56,0,3,1,13.25
19,Regular,3,9,4,421,112,0,1,2,28
20,Regular,3,9,3.5,1027,112,0,1,2,20.3333
21,Hardcore,4,8,2.3333,997,112,0,2,2,8
22,Hardcore,4,8,2.3333,978,168,0,1,3,6.25
23,Hardcore,4,8,2.3333,968,224,0,0,4,9.75
24,Hardcore,4,8,2.3333,936,224,0,0,4,9.5
25,Hardcore,4,8,2,961,224,0,0,4,8.25
26,Hardcore,4,8,2,929,224,0,0,4,12
27,Hardcore,4,8,2,950,224,0,0,4,10.25
28,Hardcore,4,8,2,934,224,0,0,4,11
29,Hardcore,4,8,2,944,224,0,0,4,10.5
30,Hardcore,3,9,3,717,168,0,0,3,8.3333
31,Hoarder,4,8,2.3333,658,224,0,0,4,29.5
32,Hoarder,3,9,3,853,56,0,2,1,21.6667
33,Hoarder,3,9,2,478,168,0,0,3,25
34,Hoarder,4,8,2.3333,760,168,0,1,3,14.25
35,Hoarder,4,8,2.6667,709,224,0,0,4,21.25
36,Hoarder,3,9,3,1188,56,0,2,1,11.6667
37,Hoarder,4,8,1.6667,1885,112,0,2,2,8.75
38,Hoarder,4,8,2,548,56,0,3,1,12.75
39,Hoarder,4,8,1.3333,1342,56,0,3,1,12.5
40,Hoarder,5,7,1.75,1878,112,0,3,2,12.2
41,"Early Locker",5,7,1.25,1278,56,0,4,1,15.4
42,"Early Locker",4,8,1.6667,502,0,0,4,0,12.25
43,"Early Locker",5,7,1.25,1711,56,0,4,1,10.4
44,"Early Locker",5,7,1.75,1294,56,0,4,1,16.8
45,"Early Locker",4,8,1.3333,434,56,0,3,1,25
46,"Early Locker",6,6,1,754,0,0,6,0,15.5
47,"Early Locker",7,5,0.6667,1641,0,0,7,0,9.1429
48,"Early Locker",5,7,1.75,418,0,0,5,0,22.6
49,"Early Locker",2,10,2,167,0,0,2,0,23
50,"Early Locker",4,8,1.3333,1223,56,0,3,1,12
51,"Late Deployer",3,9,2.5,667,112,0,1,2,24.3333
52,"Late Deployer",4,8,2.3333,584,224,0,0,4,35
53,"Late Deployer",4,8,2.3333,590,224,0,0,4,34.25
54,"Late Deployer",4,8,2.6667,2445,168,0,1,3,27.5
55,"Late Deployer",4,8,2.3333,1126,168,0,1,3,27
56,"Late Deployer",3,9,3.5,513,112,0,1,2,29
57,"Late Deployer",4,8,2,583,224,0,0,4,30.75
58,"Late Deployer",4,8,2.3333,601,224,0,0,4,29.75
59,"Late Deployer",4,8,2.3333,623,224,0,0,4,32.75
60,"Late Deployer",3,9,3,542,56,0,2,1,16.3333
61,Boost-Focused,4,8,2,639,112,0,2,2,15.75
62,Boost-Focused,3,9,3.5,653,168,0,0,3,15.3333
63,Boost-Focused,5,7,1.5,972,168,0,2,3,12.2
64,Boost-Focused,4,8,1.3333,657,112,0,2,2,10.5
65,Boost-Focused,3,9,3,670,168,0,0,3,10.3333
66,Boost-Focused,3,9,2.5,667,168,0,0,3,11
67,Boost-Focused,3,9,2.5,550,112,0,1,2,10.3333
68,Boost-Focused,3,9,3,555,112,0,1,2,10.6667
69,Boost-Focused,4,8,2.3333,794,168,0,1,3,10.5
70,Boost-Focused,4,8,2.6667,1389,168,0,1,3,13
71,Star-Focused,4,8,1.6667,1178,112,0,2,2,13.75
72,Star-Focused,4,8,2.6667,782,168,0,1,3,20
73,Star-Focused,5,7,1.75,1523,112,0,3,2,10.4
74,Star-Focused,3,9,3,1095,112,0,1,2,12.3333
75,Star-Focused,2,10,7,905,0,0,2,0,5.5
76,Star-Focused,4,8,2,1232,56,0,3,1,14.25
77,Star-Focused,5,7,1.25,1390,112,0,3,2,14.8
78,Star-Focused,4,8,2,1381,56,0,3,1,10.25
79,Star-Focused,5,7,1.25,787,112,0,3,2,15.6
80,Star-Focused,4,8,2,659,168,0,1,3,19.5
81,"Aggressive Sigil User",4,8,2,733,168,0,1,3,14.5
82,"Aggressive Sigil User",4,8,2,826,224,0,0,4,18.25
83,"Aggressive Sigil User",2,10,3,416,112,0,0,2,14
84,"Aggressive Sigil User",3,9,4,626,168,0,0,3,15.3333
85,"Aggressive Sigil User",4,8,2,828,224,0,0,4,15.25
86,"Aggressive Sigil User",4,8,2.6667,712,168,0,1,3,17
87,"Aggressive Sigil User",5,7,1.5,1486,112,0,3,2,10.2
88,"Aggressive Sigil User",3,9,1.5,519,112,0,1,2,12.6667
89,"Aggressive Sigil User",4,8,2,740,168,0,1,3,13.75
90,"Aggressive Sigil User",4,8,2.6667,830,224,0,0,4,17.5
91,"Mostly Idle",4,8,1.3333,426,0,0,4,0,26.25
92,"Mostly Idle",4,8,2.6667,1126,22,0,3,1,11
93,"Mostly Idle",4,8,2.3333,471,20,0,3,1,25.75
94,"Mostly Idle",4,8,2.6667,350,24,0,3,1,27
95,"Mostly Idle",2,10,5,95,18,0,1,1,38
96,"Mostly Idle",2,10,3,113,25,0,1,1,26.5
97,"Mostly Idle",4,8,1.6667,360,53,0,2,2,25
98,"Mostly Idle",2,10,4,152,46,0,0,2,25
99,"Mostly Idle",3,9,4,409,0,0,3,0,15.6667
100,"Mostly Idle",2,10,3,269,24,0,1,1,17.5
