archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2788,2699,9,1,19096,0,2
Regular,10,4051,4237,10,0,26331,0,7
Hardcore,10,6553,6405,3,7,58553,1,0
Hoarder,10,3560,3578,6,4,29283,1,0
"Early Locker",10,3946,3456,10,0,25649,0,0
"Late Deployer",10,4387,3454,3,7,37322,0,0
Boost-Focused,10,6049,6054,7,3,45762,0,1
Star-Focused,10,4858,4926,10,0,31574,0,0
"Aggressive Sigil User",10,5133,5147,6,4,40846,0,0
"Mostly Idle",10,2043,1831,10,0,13279,0,0
