player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,8,1.6667,370,112,0,2,2,14
2,Casual,3,9,1.5,1492,56,0,2,1,8
3,Casual,5,7,1.5,401,112,0,3,2,14.2
4,Casual,3,9,3.5,316,112,0,1,2,20.3333
5,Casual,5,7,1.25,1018,0,0,5,0,13.2
6,Regular,5,7,1.25,602,112,0,3,2,10.4
7,Regular,4,8,2,736,224,0,0,4,8.75
8,Regular,4,8,2.6667,717,224,0,0,4,12.5
9,Regular,4,8,2,401,56,0,3,1,12
10,Regular,4,8,2.6667,654,112,0,2,2,10.5
11,Hardcore,4,8,2.3333,1189,224,220,0,4,2.5
12,Hardcore,4,8,2,1114,224,140,0,4,3.75
13,Hardcore,4,8,2,1534,168,60,1,3,3.25
14,Hardcore,5,7,1.75,1350,224,100,1,4,2.8
15,Hardcore,4,8,2,1078,224,100,0,4,3.75
16,Hoarder,4,8,2.6667,456,112,0,2,2,15.5
17,Hoarder,3,9,2.5,480,168,0,0,3,17.3333
18,Hoarder,4,8,1.6667,607,56,0,3,1,4.5
19,Hoarder,3,9,4,485,168,0,0,3,11.6667
20,Hoarder,2,10,9,320,112,0,0,2,14
21,"Early Locker",5,7,1.5,453,0,0,5,0,8.4
22,"Early Locker",4,8,2.3333,945,0,0,4,0,6.75
23,"Early Locker",4,8,2,477,56,0,3,1,8.75
24,"Early Locker",4,8,2,547,112,0,2,2,9
25,"Early Locker",4,8,1.6667,470,56,0,3,1,7.75
26,"Late Deployer",3,9,3,476,168,0,0,3,7.6667
27,"Late Deployer",3,9,2.5,447,168,0,0,3,17.3333
28,"Late Deployer",4,8,2,613,224,0,0,4,16
29,"Late Deployer",4,8,2,617,224,0,0,4,16.25
30,"Late Deployer",3,9,3,470,168,0,0,3,11.6667
31,Boost-Focused,4,8,2.3333,964,224,60,0,4,5.25
32,Boost-Focused,3,9,3,798,168,100,0,3,3.3333
33,Boost-Focused,3,9,2,682,168,0,0,3,6
34,Boost-Focused,4,8,2.3333,983,224,60,0,4,3.75
35,Boost-Focused,4,8,2.6667,950,224,40,0,4,6
36,Star-Focused,3,9,3,627,112,0,1,2,5.6667
37,Star-Focused,4,8,1.6667,464,56,0,3,1,8.75
38,Star-Focused,4,8,2.3333,583,112,0,2,2,8
39,Star-Focused,5,7,1.25,1455,56,0,4,1,4.2
40,Star-Focused,5,7,1.75,1912,112,0,3,2,5.2
41,"Aggressive Sigil User",4,8,2.3333,903,224,40,0,4,6
42,"Aggressive Sigil User",3,9,2,746,168,80,0,3,4
43,"Aggressive Sigil User",4,8,2.6667,849,224,0,0,4,8
44,"Aggressive Sigil User",4,8,2.3333,785,168,40,1,3,6
45,"Aggressive Sigil User",3,9,2.5,624,168,0,0,3,8.3333
46,"Mostly Idle",3,9,2.5,146,26,0,2,1,14.3333
47,"Mostly Idle",4,8,2.3333,240,47,0,2,2,13.75
48,"Mostly Idle",4,8,2.6667,367,48,0,2,2,12.5
49,"Mostly Idle",1,11,0,74,20,0,0,1,20
50,"Mostly Idle",3,9,2,185,42,0,1,2,19
