archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2700,2275,10,0,17549,0,0
Regular,10,3576,3531,7,3,27280,0,1
Hardcore,10,5652,5456,1,9,54447,0,0
Hoarder,10,3569,3468,9,1,24632,0,2
"Early Locker",10,3433,3470,10,0,22310,0,1
"Late Deployer",10,3015,3043,4,6,26402,0,0
Boost-Focused,10,4695,4887,5,5,39587,0,0
Star-Focused,10,4369,4011,9,1,29858,0,0
"Aggressive Sigil User",10,4808,4675,3,7,43163,0,1
"Mostly Idle",10,1838,1517,10,0,11944,0,0
