archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2073,1929,10,0,13475,0,0
Regular,10,3163,3170,9,1,21924,0,3
Hardcore,10,5837,5762,1,9,56602,0,0
Hoarder,10,3917,3710,9,1,27002,0,3
"Early Locker",10,3351,3596,10,0,21778,0,0
"Late Deployer",10,3234,3190,2,8,30454,0,0
Boost-Focused,10,5161,5161,3,7,46573,0,0
Star-Focused,10,3896,3853,10,0,25319,0,2
"Aggressive Sigil User",10,4735,4808,4,6,41335,0,2
"Mostly Idle",10,2221,2005,10,0,14431,0,0
