archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,11532,11013,19,1,153885,13,0
Regular,20,16480,16356,18,2,226128,8,0
Hardcore,20,22081,21116,7,13,383461,8,0
Hoarder,20,10719,9639,20,0,139337,119,0
"Early Locker",20,16813,16875,20,0,218561,5,0
"Late Deployer",20,17041,16631,8,12,292660,53,0
Boost-Focused,20,17291,17574,3,17,334063,5,3
Star-Focused,20,23223,23611,20,0,301894,64,0
"Aggressive Sigil User",20,19607,18957,17,3,272955,43,1
"Mostly Idle",20,12794,13564,20,0,166313,33,0
