player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,8,2,362,112,0,2,2,18.25
2,Casual,4,8,2.3333,349,112,0,2,2,17.25
3,Casual,6,6,0.8,1269,56,0,5,1,9.3333
4,Casual,4,8,1.6667,894,56,0,3,1,13.75
5,Casual,4,8,2.3333,552,163,0,1,3,10.25
6,Regular,4,8,2,1206,56,0,3,1,7
7,Regular,4,8,2,628,168,0,1,3,14.25
8,Regular,5,7,1.5,2444,56,0,4,1,9.8
9,Regular,3,9,3,964,56,0,2,1,7.6667
10,Regular,3,9,3,352,56,0,2,1,11.3333
11,Hardcore,4,8,2,1006,224,0,0,4,6.25
12,Hardcore,3,9,1.5,1252,112,0,1,2,5
13,Hardcore,4,8,2,987,224,0,0,4,6
14,Hardcore,4,8,1.6667,1022,168,0,1,3,6
15,Hardcore,4,8,2,1043,224,40,0,4,6.5
16,Hoarder,3,9,3,651,56,0,2,1,6.3333
17,Hoarder,4,8,2.3333,563,168,0,1,3,16
18,Hoarder,4,8,1.6667,1677,56,0,3,1,6
19,Hoarder,4,8,2.3333,1157,168,0,1,3,11
20,Hoarder,3,9,2,2343,56,0,2,1,6.3333
21,"Early Locker",5,7,1.5,1871,112,0,3,2,8.8
22,"Early Locker",5,7,1.75,3904,0,0,5,0,4.8
23,"Early Locker",6,6,1,783,0,0,6,0,8.5
24,"Early Locker",6,6,1,1745,0,0,6,0,7.6667
25,"Early Locker",5,7,1.25,1110,0,0,5,0,10
26,"Late Deployer",3,9,3,461,168,0,0,3,15.6667
27,"Late Deployer",4,8,2,671,168,0,1,3,9.5
28,"Late Deployer",3,9,2,461,168,0,0,3,17.6667
29,"Late Deployer",4,8,2.3333,630,224,0,0,4,16.75
30,"Late Deployer",4,8,2,621,224,0,0,4,17.75
31,Boost-Focused,4,8,2.6667,942,224,0,0,4,7
32,Boost-Focused,5,7,1.75,1065,224,0,1,4,5.8
33,Boost-Focused,4,8,2,896,224,0,0,4,8.25
34,Boost-Focused,4,8,2,815,168,0,1,3,7.25
35,Boost-Focused,4,8,2.6667,914,224,0,0,4,7.5
36,Star-Focused,5,7,1.25,3508,112,0,3,2,5.8
37,Star-Focused,4,8,2,706,112,0,2,2,9.75
38,Star-Focused,4,8,1.6667,1238,56,0,3,1,6.25
39,Star-Focused,5,7,1.5,1965,56,0,4,1,6.2
40,Star-Focused,5,7,1.5,1378,0,0,5,0,6
41,"Aggressive Sigil User",4,8,2.6667,866,224,0,0,4,10.75
42,"Aggressive Sigil User",4,8,2.3333,832,112,0,2,2,9
43,"Aggressive Sigil User",3,9,2.5,660,168,0,0,3,8.6667
44,"Aggressive Sigil User",4,8,2,884,224,0,0,4,6.5
45,"Aggressive Sigil User",5,7,1.5,1456,168,0,2,3,8.4
46,"Mostly Idle",3,9,2,266,0,0,3,0,15.6667
47,"Mostly Idle",4,8,1.6667,1695,0,0,4,0,5.25
48,"Mostly Idle",5,7,1.25,359,20,0,4,1,14.6
49,"Mostly Idle",2,10,9,171,51,0,0,2,17
50,"Mostly Idle",2,10,3,160,49,0,0,2,12.5
