archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2576,2753,8,2,18743,0,0
Regular,10,3764,3692,7,3,29214,0,1
Hardcore,10,6529,6549,0,10,65959,0,0
Hoarder,10,3792,3979,7,3,29459,0,1
"Early Locker",10,4157,4296,10,0,27019,0,1
"Late Deployer",10,3545,3445,5,5,29455,0,0
Boost-Focused,10,6185,6267,2,8,58084,0,0
Star-Focused,10,4509,4618,9,1,30981,0,1
"Aggressive Sigil User",10,5565,5509,5,5,46037,0,1
"Mostly Idle",10,2468,2105,10,0,16041,0,0
