player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,8,2,369,112,0,2,2,27.75
2,Casual,4,8,2.3333,352,112,0,2,2,32.5
3,Casual,5,7,1.25,1172,112,0,3,2,17
4,Casual,4,8,1.6667,266,56,0,3,1,30.75
5,Casual,4,8,2.3333,559,163,0,1,3,16.75
6,Casual,3,9,3.5,289,108,0,1,2,33.3333
7,Casual,5,7,1.25,559,112,0,3,2,19.8
8,Casual,5,7,1.5,1039,109,0,3,2,29.6
9,Casual,2,10,7,180,56,0,1,1,27
10,Casual,3,9,3,329,112,0,1,2,21.6667
11,Regular,4,8,2.6667,297,0,0,4,0,22.75
12,Regular,3,9,1.5,467,56,0,2,1,16
13,Regular,4,8,1.6667,418,56,0,3,1,21.75
14,Regular,3,9,3.5,432,112,0,1,2,21.6667
15,Regular,5,7,1.25,644,56,0,4,1,13.2
16,Regular,3,9,3,524,168,0,0,3,21
17,Regular,4,8,2.3333,386,56,0,3,1,28.25
18,Regular,4,8,1.6667,399,56,0,3,1,21
19,Regular,5,7,1.25,1013,0,0,5,0,15.6
20,Regular,2,10,3,363,112,0,0,2,19
21,Hardcore,4,8,2,941,224,40,0,4,6.25
22,Hardcore,4,8,2.3333,963,224,40,0,4,5.75
23,Hardcore,4,8,2,987,224,40,0,4,5.25
24,Hardcore,4,8,2,953,224,40,0,4,4.75
25,Hardcore,4,8,2,1035,224,120,0,4,5
26,Hardcore,4,8,2,912,224,0,0,4,4.75
27,Hardcore,4,8,2,945,224,40,0,4,5.75
28,Hardcore,4,8,2,940,224,0,0,4,6
29,Hardcore,4,8,2.3333,2740,168,0,1,3,4.5
30,Hardcore,4,8,2,934,224,0,0,4,6.25
31,Hoarder,4,8,2.6667,673,224,0,0,4,26.25
32,Hoarder,5,7,1.75,686,112,0,3,2,13.4
33,Hoarder,4,8,2,700,224,0,0,4,21.25
34,Hoarder,4,8,1.6667,588,168,0,1,3,22.75
35,Hoarder,5,7,1.75,658,168,0,2,3,18
36,Hoarder,4,8,2,1168,168,0,1,3,19.25
37,Hoarder,4,8,2.3333,683,224,0,0,4,24.75
38,Hoarder,3,9,2.5,399,112,0,1,2,26
39,Hoarder,5,7,1.5,1254,168,0,2,3,21.4
40,Hoarder,4,8,2.3333,435,112,0,2,2,28
41,"Early Locker",4,8,2.6667,436,56,0,3,1,18
42,"Early Locker",5,7,1.5,414,0,0,5,0,18
43,"Early Locker",5,7,1,443,0,0,5,0,15.2
44,"Early Locker",5,7,1.25,445,0,0,5,0,14.4
45,"Early Locker",5,7,1.5,515,56,0,4,1,18.8
46,"Early Locker",4,8,2,339,0,0,4,0,19.75
47,"Early Locker",5,7,1.25,1166,56,0,4,1,15.2
48,"Early Locker",6,6,1.2,519,0,0,6,0,17.1667
49,"Early Locker",4,8,2.3333,459,56,0,3,1,13.25
50,"Early Locker",3,9,4,250,0,0,3,0,17.3333
51,"Late Deployer",3,9,3,450,168,0,0,3,25.6667
52,"Late Deployer",4,8,2.3333,595,224,0,0,4,32
53,"Late Deployer",4,8,2.6667,619,224,0,0,4,29.75
54,"Late Deployer",3,9,2.5,466,168,0,0,3,22.3333
55,"Late Deployer",4,8,2,602,224,0,0,4,32.25
56,"Late Deployer",4,8,2.3333,615,224,0,0,4,31
57,"Late Deployer",3,9,3.5,460,168,0,0,3,32.3333
58,"Late Deployer",4,8,2,1283,168,0,1,3,24.25
59,"Late Deployer",4,8,1.6667,1152,168,0,1,3,20.5
60,"Late Deployer",4,8,2.3333,622,224,0,0,4,23.25
61,Boost-Focused,3,9,2.5,756,168,80,0,3,5.6667
62,Boost-Focused,5,7,1.75,972,224,0,1,4,8.4
63,Boost-Focused,3,9,2.5,632,168,0,0,3,12.6667
64,Boost-Focused,4,8,2.6667,876,224,0,0,4,8.25
65,Boost-Focused,3,9,2.5,742,168,60,0,3,4.6667
66,Boost-Focused,4,8,2.6667,754,168,0,1,3,7.5
67,Boost-Focused,3,9,3,547,112,0,1,2,7.3333
68,Boost-Focused,4,8,2.3333,858,224,0,0,4,9.25
69,Boost-Focused,4,8,2.3333,832,224,0,0,4,12.75
70,Boost-Focused,4,8,2.3333,748,168,0,1,3,9.25
71,Star-Focused,5,7,1.5,718,56,0,4,1,12.6
72,Star-Focused,4,8,1.6667,537,112,0,2,2,20.25
73,Star-Focused,5,7,1.25,1812,56,0,4,1,9.4
74,Star-Focused,5,7,1.5,763,112,0,3,2,15.2
75,Star-Focused,5,7,1.25,547,56,0,4,1,12.6
76,Star-Focused,4,8,2.3333,690,112,0,2,2,10.25
77,Star-Focused,5,7,1.5,566,0,0,5,0,15.6
78,Star-Focused,4,8,2.3333,627,168,0,1,3,20.75
79,Star-Focused,4,8,2.3333,665,168,0,1,3,13
80,Star-Focused,4,8,2.3333,542,112,0,2,2,18.5
81,"Aggressive Sigil User",4,8,2,811,224,0,0,4,16.25
82,"Aggressive Sigil User",4,8,2,831,168,0,1,3,8.25
83,"Aggressive Sigil User",4,8,1.6667,1863,112,0,2,2,7.25
84,"Aggressive Sigil User",4,8,2.6667,831,224,0,0,4,12.5
85,"Aggressive Sigil User",3,9,2,646,168,0,0,3,10.6667
86,"Aggressive Sigil User",3,9,2.5,630,168,0,0,3,9.6667
87,"Aggressive Sigil User",3,9,3,653,168,0,0,3,9
88,"Aggressive Sigil User",4,8,2,822,224,0,0,4,14
89,"Aggressive Sigil User",5,7,1.75,727,112,0,3,2,7.6
90,"Aggressive Sigil User",4,8,2.6667,710,168,0,1,3,14.25
91,"Mostly Idle",4,8,2,240,43,0,2,2,24.75
92,"Mostly Idle",2,10,2,183,55,0,0,2,21
93,"Mostly Idle",4,8,2,389,41,0,2,2,17.75
94,"Mostly Idle",3,9,3.5,251,72,0,0,3,33.6667
95,"Mostly Idle",4,8,1.6667,336,21,0,3,1,23.75
96,"Mostly Idle",3,9,1.5,162,23,0,2,1,26.6667
97,"Mostly Idle",2,10,4,72,0,0,2,0,31
98,"Mostly Idle",2,10,3,115,19,0,1,1,26.5
99,"Mostly Idle",4,8,2.3333,223,45,0,2,2,40.75
100,"Mostly Idle",5,7,1.25,349,20,0,4,1,31.4
