archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2147,1925,17,3,30454,0,0
Regular,20,3036,2826,17,3,43255,0,1
Hardcore,20,5091,5096,1,19,101174,0,0
Hoarder,20,3204,3298,18,2,44400,0,1
"Early Locker",20,3355,3175,20,0,43617,0,1
"Late Deployer",20,2995,2966,6,14,54134,1,0
Boost-Focused,20,4689,4593,8,12,80919,0,3
Star-Focused,20,3827,3690,18,2,52469,0,2
"Aggressive Sigil User",20,4392,4332,11,9,71294,0,0
"Mostly Idle",20,2083,2025,20,0,27077,0,0
