archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2666,2228,9,1,18218,0,0
Regular,10,3681,3744,7,3,28119,0,2
Hardcore,10,5701,5702,0,10,57672,0,0
Hoarder,10,3888,3883,9,1,26807,0,1
"Early Locker",10,3230,3199,10,0,20995,0,0
"Late Deployer",10,3458,3301,8,2,24825,0,0
Boost-Focused,10,4889,5007,4,6,42885,0,0
Star-Focused,10,4551,4305,9,1,31026,0,0
"Aggressive Sigil User",10,4511,4684,4,6,39522,0,0
"Mostly Idle",10,1910,1696,10,0,12414,0,0
