archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2577,2462,9,1,17657,0,1
Regular,10,3608,3620,7,3,27643,0,3
Hardcore,10,5668,5490,3,7,50635,0,0
Hoarder,10,3471,3578,7,3,27102,0,1
"Early Locker",10,3222,3274,10,0,20941,0,0
"Late Deployer",10,3286,3142,7,3,24827,0,0
Boost-Focused,10,4997,5166,3,7,45521,0,0
Star-Focused,10,3705,3520,10,0,24078,0,0
"Aggressive Sigil User",10,4623,4656,6,4,36877,1,3
"Mostly Idle",10,2364,2007,10,0,15362,0,0
