player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,8,2.6667,619,112,0,2,2,28.25
2,Casual,5,7,1.75,385,112,0,3,2,33.2
3,Casual,4,8,1.3333,813,0,0,4,0,22.5
4,Casual,5,7,1.5,1246,168,0,2,3,20.4
5,Casual,4,8,2,400,56,0,3,1,24.25
6,Casual,5,7,1.75,548,112,0,3,2,29.4
7,Casual,3,9,2,307,112,0,1,2,27.6667
8,Casual,5,7,1.5,1108,56,0,4,1,21
9,Casual,5,7,1.5,1709,56,0,4,1,18.4
10,Casual,4,8,2,494,112,0,2,2,27.75
11,Regular,4,8,2,499,112,0,2,2,23.75
12,Regular,5,7,1.5,563,112,0,3,2,25.6
13,Regular,3,9,3.5,318,56,0,2,1,28.3333
14,Regular,3,9,2,332,56,0,2,1,24.6667
15,Regular,3,9,3,316,56,0,2,1,32.3333
16,Regular,4,8,2.3333,508,112,0,2,2,27.75
17,Regular,3,9,2.5,531,168,0,0,3,23.6667
18,Regular,3,9,2,530,0,0,3,0,17
19,Regular,4,8,2.3333,531,56,0,3,1,26.75
20,Regular,5,7,1.75,711,112,0,3,2,19
21,Hardcore,4,8,2.3333,936,224,0,0,4,12.5
22,Hardcore,3,9,2,710,168,0,0,3,11.3333
23,Hardcore,4,8,2.3333,949,224,0,0,4,11.25
24,Hardcore,4,8,2.6667,931,224,0,0,4,15
25,Hardcore,4,8,2,963,224,0,0,4,12.5
26,Hardcore,4,8,2.3333,964,224,0,0,4,11.5
27,Hardcore,3,9,2.5,697,168,0,0,3,13.3333
28,Hardcore,4,8,2.3333,954,224,0,0,4,11.25
29,Hardcore,4,8,2,957,224,0,0,4,10
30,Hardcore,4,8,2.3333,940,224,0,0,4,12.25
31,Hoarder,5,7,1.25,1698,56,0,4,1,7
32,Hoarder,4,8,2.3333,525,168,0,1,3,33.75
33,Hoarder,5,7,1.75,1850,56,0,4,1,10.6
34,Hoarder,5,7,1,1910,56,0,4,1,10.8
35,Hoarder,5,7,1.5,1857,56,0,4,1,13.6
36,Hoarder,4,8,2,1031,112,0,2,2,21
37,Hoarder,4,8,2.3333,678,168,0,1,3,20.25
38,Hoarder,3,9,1.5,989,112,0,1,2,15.3333
39,Hoarder,4,8,2.6667,1148,168,0,1,3,26
40,Hoarder,5,7,1.25,640,56,0,4,1,24.4
41,"Early Locker",5,7,1.75,1882,56,0,4,1,8.8
42,"Early Locker",6,6,0.8,1383,0,0,6,0,12.1667
43,"Early Locker",3,9,2,256,0,0,3,0,25.3333
44,"Early Locker",5,7,1.25,1388,112,0,3,2,13
45,"Early Locker",5,7,1.5,1828,0,0,5,0,13
46,"Early Locker",3,9,2.5,1619,56,0,2,1,7
