archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,3586,3612,20,0,46617,0,0
Regular,20,5186,5396,15,5,77750,1,8
Hardcore,20,8446,8448,0,20,170053,0,0
Hoarder,20,4120,3909,16,4,60258,1,0
"Early Locker",20,4825,4691,20,0,62724,0,0
"Late Deployer",20,4520,4375,2,18,88614,1,0
Boost-Focused,20,8228,8217,0,20,165889,1,0
Star-Focused,20,5077,5339,20,0,65996,0,1
"Aggressive Sigil User",20,7129,7281,4,16,134271,0,2
"Mostly Idle",20,2714,2504,20,0,35274,0,0
