archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1284,1007,10,0,8346,0,0
Regular,10,962,358,9,1,6320,0,0
Hardcore,10,1198,48,5,5,8151,0,0
Hoarder,10,2496,2017,10,0,16221,0,0
"Early Locker",10,1196,1110,10,0,7768,0,0
"Late Deployer",10,1913,1261,9,1,12493,0,0
Boost-Focused,10,508,280,8,2,3444,0,1
Star-Focused,10,2749,1769,10,0,17864,0,0
"Aggressive Sigil User",10,1055,1022,9,1,6928,0,0
"Mostly Idle",10,1172,1253,10,0,7618,0,0
