player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,6,6,0.8,6496,0,0,6,0,17.8333
2,Casual,7,5,0.5,4774,0,0,7,0,22.8571
3,Casual,5,7,1.75,5945,0,0,5,0,15.4
4,Casual,7,5,0.6667,3954,0,0,7,0,23.4286
5,Casual,5,7,1.25,6231,0,0,5,0,18.4
6,Casual,8,4,0.5714,17301,56,0,7,1,13.375
7,Casual,5,7,1.5,4277,0,0,5,0,19.2
8,Casual,7,5,0.5,6463,0,0,7,0,20.4286
9,Casual,5,7,1.25,5785,0,0,5,0,17.4
10,Casual,6,6,1,4604,0,0,6,0,20.6667
11,Regular,3,9,3,1616,56,0,2,1,26.6667
12,Regular,7,5,0.3333,6381,0,0,7,0,19.7143
13,Regular,3,9,1,2154,0,0,3,0,21
14,Regular,3,9,2.5,2127,0,0,3,0,19.3333
15,Regular,5,7,1,4016,56,0,4,1,22.6
16,Regular,5,7,1,4801,56,0,4,1,24.2
17,Regular,4,8,2.3333,4400,0,0,4,0,20
18,Regular,6,6,1.2,8135,0,0,6,0,15.8333
19,Regular,4,8,1.3333,3985,56,0,3,1,24
20,Regular,4,8,2.6667,3788,0,0,4,0,20.5
21,Hardcore,4,8,2,517,112,0,2,2,38.75
22,Hardcore,5,7,1.25,975,56,0,4,1,35.2
23,Hardcore,5,7,1.75,1089,56,0,4,1,34.8
24,Hardcore,5,7,1.5,2765,56,0,4,1,29.4
25,Hardcore,4,8,2,1258,112,0,2,2,34.5
26,Hardcore,5,7,1.75,3176,112,0,3,2,28.4
27,Hardcore,4,8,1.3333,813,56,0,3,1,34.25
28,Hardcore,4,8,2,673,112,0,2,2,37.25
29,Hardcore,6,6,1,1932,0,0,6,0,29.1667
30,Hardcore,5,7,1.25,2781,112,0,3,2,28.4
31,Hoarder,5,7,0.75,6483,0,0,5,0,14.8
32,Hoarder,4,8,2,4110,0,0,4,0,16.5
33,Hoarder,5,7,0.75,7246,0,0,5,0,10.2
34,Hoarder,3,9,2,4589,0,0,3,0,11
35,Hoarder,6,6,1,9669,0,0,6,0,10.8333
36,Hoarder,5,7,1.5,6522,0,0,5,0,14.6
37,Hoarder,6,6,1,14043,0,0,6,0,4.8333
38,Hoarder,5,7,1.5,6057,0,0,5,0,15.4
39,Hoarder,6,6,1,8092,0,0,6,0,11.3333
40,Hoarder,5,7,1.5,6795,0,0,5,0,16.2
41,"Early Locker",7,5,0.6667,5329,0,0,7,0,20
42,"Early Locker",4,8,1.6667,2992,0,0,4,0,23
43,"Early Locker",7,5,0.6667,5399,0,0,7,0,21.5714
44,"Early Locker",6,6,1,10671,0,0,6,0,15.8333
45,"Early Locker",6,6,1,3912,0,0,6,0,23.6667
46,"Early Locker",4,8,2.6667,3021,0,0,4,0,26.25
47,"Early Locker",6,6,0.6,4139,0,0,6,0,23.3333
48,"Early Locker",5,7,1.25,4881,0,0,5,0,14.8
49,"Early Locker",5,7,1.5,4406,0,0,5,0,21
50,"Early Locker",9,3,0.375,4920,0,0,9,0,27
51,"Late Deployer",4,8,1.6667,2997,0,0,4,0,24
52,"Late Deployer",4,8,2.3333,2655,56,0,3,1,22
53,"Late Deployer",5,7,1.5,4643,56,0,4,1,24.4
54,"Late Deployer",6,6,1.2,4358,0,0,6,0,24.3333
55,"Late Deployer",4,8,2,3359,0,0,4,0,24.25
56,"Late Deployer",5,7,1.5,2403,56,0,4,1,27.6
57,"Late Deployer",5,7,1.75,5451,56,0,4,1,23
58,"Late Deployer",4,8,1.3333,5179,0,0,4,0,15.5
59,"Late Deployer",3,9,1.5,3053,0,0,3,0,15.6667
60,"Late Deployer",4,8,2,1837,0,0,4,0,26.75
61,Boost-Focused,5,7,1.25,1373,0,0,5,0,30.4
62,Boost-Focused,5,7,1.75,1373,56,0,4,1,33
63,Boost-Focused,4,8,2,1168,56,0,3,1,31.5
64,Boost-Focused,4,8,1.6667,529,168,0,1,3,37.25
65,Boost-Focused,5,7,1.5,1099,168,0,2,3,36.6
66,Boost-Focused,5,7,1.75,3130,56,0,4,1,32
67,Boost-Focused,3,9,3.5,407,112,0,1,2,42
68,Boost-Focused,6,6,1.2,3866,0,0,6,0,26.8333
69,Boost-Focused,5,7,1.75,1440,112,0,3,2,34.8
70,Boost-Focused,4,8,1.3333,508,56,0,3,1,38.5
71,Star-Focused,5,7,1.25,18684,0,0,5,0,7.8
72,Star-Focused,4,8,2,7286,0,0,4,0,8.5
73,Star-Focused,5,7,1.5,10805,0,0,5,0,8.4
74,Star-Focused,6,6,1.2,11478,0,0,6,0,13
