archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,935,506,10,0,6076,0,0
Regular,10,1481,1013,9,1,9691,0,1
Hardcore,10,1107,281,8,2,7347,0,0
Hoarder,10,2328,2067,10,0,15130,0,0
"Early Locker",10,1008,1064,10,0,6547,0,0
"Late Deployer",10,1424,762,9,1,9325,0,0
Boost-Focused,10,701,133,6,4,4848,0,1
Star-Focused,10,3894,3026,10,0,25306,0,0
"Aggressive Sigil User",10,1455,1175,10,0,9457,0,0
"Mostly Idle",10,838,552,10,0,5444,0,0
