player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,6,6,1.2,7862,0,0,6,0,19
2,Casual,7,5,0.8333,9432,0,0,7,0,14.7143
3,Casual,7,5,0.1667,8486,0,0,7,0,14.7143
4,Casual,7,5,0.6667,10958,0,0,7,0,18.8571
5,Casual,5,7,1.75,4514,0,0,5,0,27.6
6,Casual,5,7,1.75,5226,0,0,5,0,18
7,Casual,5,7,1.5,5418,0,0,5,0,15.4
8,Casual,4,8,1.6667,3042,0,0,4,0,23.5
9,Casual,8,4,0.5714,4268,0,0,8,0,25.875
10,Casual,7,5,0.8333,5829,0,0,7,0,20.4286
11,Regular,8,4,0.5714,3706,0,0,8,0,29.25
12,Regular,3,9,2.5,1369,56,0,2,1,31
13,Regular,7,5,0.8333,5116,0,0,7,0,24.5714
14,Regular,6,6,0.6,7651,0,0,6,0,20.8333
15,Regular,5,7,1.5,7350,0,0,5,0,13.2
16,Regular,4,8,2,1683,0,0,4,0,25
17,Regular,5,7,1,3939,0,0,5,0,20.8
18,Regular,6,6,0.8,4955,0,0,6,0,23.5
19,Regular,6,6,0.8,2470,0,0,6,0,34.5
20,Regular,4,8,1.3333,5006,0,0,4,0,21
21,Hardcore,5,7,1.5,1251,112,0,3,2,31.8
22,Hardcore,5,7,1.5,876,56,0,4,1,40.4
23,Hardcore,6,6,1.2,8441,0,0,6,0,25.8333
24,Hardcore,6,6,1.2,8854,56,0,5,1,27
25,Hardcore,5,7,1.5,6438,112,0,3,2,34.4
26,Hardcore,5,7,1.5,1273,168,0,2,3,36.6
27,Hardcore,5,7,1.25,3874,56,0,4,1,22.8
28,Hardcore,6,6,1.2,2765,0,0,6,0,35.1667
29,Hardcore,5,7,1.25,725,56,0,4,1,39
30,Hardcore,6,6,1,7028,0,0,6,0,19.1667
31,Hoarder,5,7,1.5,7807,0,0,5,0,10.2
32,Hoarder,5,7,1.75,11682,0,0,5,0,4.8
33,Hoarder,3,9,2,5764,0,0,3,0,14.6667
34,Hoarder,5,7,1.5,6211,0,0,5,0,18
35,Hoarder,6,6,1,12669,0,0,6,0,14.1667
36,Hoarder,5,7,1.25,12906,0,0,5,0,7.4
37,Hoarder,6,6,1.2,9789,0,0,6,0,11.1667
38,Hoarder,4,8,2,4100,0,0,4,0,19.25
39,Hoarder,6,6,1,9397,0,0,6,0,13.8333
40,Hoarder,4,8,1.6667,5505,0,0,4,0,13.5
41,"Early Locker",3,9,3,1885,0,0,3,0,29
42,"Early Locker",6,6,1.2,6832,0,0,6,0,19.1667
43,"Early Locker",3,9,1.5,1524,0,0,3,0,27.6667
44,"Early Locker",10,2,0.1111,5989,0,0,10,0,25.1
45,"Early Locker",6,6,0.8,3543,0,0,6,0,23
46,"Early Locker",5,7,0.5,2236,0,0,5,0,30.2
47,"Early Locker",11,1,0,7116,0,0,11,0,23.3636
48,"Early Locker",5,7,1.25,2041,0,0,5,0,31
49,"Early Locker",7,5,0.6667,5735,0,0,7,0,20.1429
50,"Early Locker",4,8,1,5764,0,0,4,0,13.25
51,"Late Deployer",5,7,1.25,2034,56,0,4,1,33.6
52,"Late Deployer",3,9,2.5,535,56,0,2,1,46.6667
53,"Late Deployer",2,10,5,2007,0,0,2,0,17.5
54,"Late Deployer",4,8,1.6667,5609,0,0,4,0,12.25
55,"Late Deployer",5,7,1.75,2994,56,0,4,1,32.2
56,"Late Deployer",4,8,2,1956,0,0,4,0,25.25
57,"Late Deployer",5,7,1.25,4320,0,0,5,0,24.6
58,"Late Deployer",5,7,1.5,6513,0,0,5,0,14.8
59,"Late Deployer",5,7,1.75,4267,56,0,4,1,25.2
60,"Late Deployer",4,8,2,2576,56,0,3,1,24.25
61,Boost-Focused,4,8,2.3333,1048,168,0,1,3,37.5
62,Boost-Focused,5,7,1.25,836,112,0,3,2,32
63,Boost-Focused,4,8,1.6667,558,168,0,1,3,33
64,Boost-Focused,4,8,2,536,112,0,2,2,40.5
65,Boost-Focused,5,7,1.75,3048,168,0,2,3,33.4
66,Boost-Focused,4,8,2.6667,680,112,0,2,2,42.5
67,Boost-Focused,5,7,1.5,2339,112,0,3,2,32
68,Boost-Focused,4,8,2,2430,56,0,3,1,24
69,Boost-Focused,5,7,1.75,4468,56,0,4,1,24.2
70,Boost-Focused,6,6,1.2,1407,112,0,4,2,40
71,Star-Focused,6,6,1.2,10428,0,0,6,0,8.6667
72,Star-Focused,5,7,1.75,8034,0,0,5,0,7.8
73,Star-Focused,5,7,1.5,8836,0,0,5,0,12
74,Star-Focused,6,6,1.2,5648,0,0,6,0,20
75,Star-Focused,6,6,1,8668,0,0,6,0,15.3333
76,Star-Focused,4,8,1.6667,8920,0,0,4,0,7.25
77,Star-Focused,5,7,1.5,6863,0,0,5,0,19.2
78,Star-Focused,5,7,1,5046,0,0,5,0,16.8
79,Star-Focused,5,7,1.5,8304,0,0,5,0,9.6
80,Star-Focused,5,7,1.5,6803,0,0,5,0,13.4
81,"Aggressive Sigil User",5,7,1.5,3228,56,0,4,1,32.6
82,"Aggressive Sigil User",5,7,1.5,5207,0,0,5,0,17.2
83,"Aggressive Sigil User",6,6,1,8588,0,0,6,0,19
84,"Aggressive Sigil User",5,7,1,4115,56,0,4,1,17.2
85,"Aggressive Sigil User",7,5,0.8333,5967,0,0,7,0,25
86,"Aggressive Sigil User",4,8,1.6667,3134,0,0,4,0,19
87,"Aggressive Sigil User",6,6,1.2,8016,0,0,6,0,18.5
88,"Aggressive Sigil User",5,7,1.25,2494,0,0,5,0,28.6
89,"Aggressive Sigil User",5,7,1,4076,56,0,4,1,20.4
90,"Aggressive Sigil User",5,7,1.25,3290,112,0,3,2,29.6
91,"Mostly Idle",5,7,1,4012,0,0,5,0,20.8
92,"Mostly Idle",5,7,1.5,2981,0,0,5,0,27.4
93,"Mostly Idle",2,10,1,1958,0,0,2,0,21
94,"Mostly Idle",7,5,0.6667,5572,0,0,7,0,21.4286
95,"Mostly Idle",6,6,1,11552,0,0,6,0,18
96,"Mostly Idle",2,10,9,2414,0,0,2,0,18
97,"Mostly Idle",5,7,0.5,4466,0,0,5,0,24.8
98,"Mostly Idle",3,9,1.5,2216,0,0,3,0,22.6667
99,"Mostly Idle",6,6,1.2,2920,0,0,6,0,27.5
100,"Mostly Idle",6,6,0.6,4142,0,0,6,0,20.6667
