archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1242,756,10,0,8068,0,0
Regular,10,976,618,8,2,6479,0,1
Hardcore,10,345,134,6,4,2536,0,0
Hoarder,10,2145,2205,10,0,13940,0,0
"Early Locker",10,1063,922,10,0,6904,0,0
"Late Deployer",10,1456,614,8,2,9595,0,0
Boost-Focused,10,242,48,6,4,1858,0,1
Star-Focused,10,1997,1523,10,0,12977,0,0
"Aggressive Sigil User",10,1252,1024,9,1,8204,0,0
"Mostly Idle",10,837,803,10,0,5440,0,0
