player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,5,7,1.75,3998,0,0,5,0,21.8
2,Casual,7,5,0.8333,5597,0,0,7,0,20.7143
3,Casual,6,6,0.8,7847,0,0,6,0,12.3333
4,Casual,5,7,1.25,3896,0,0,5,0,20.2
5,Casual,5,7,1.5,2499,0,0,5,0,26.8
6,Casual,5,7,1.5,6923,0,0,5,0,12.2
7,Casual,5,7,1.25,5324,0,0,5,0,18.8
8,Casual,7,5,0.8333,6448,0,0,7,0,17.1429
9,Casual,4,8,2.6667,3045,0,0,4,0,18.5
10,Casual,5,7,1.75,2720,0,0,5,0,27.4
11,Regular,5,7,1.25,3758,0,0,5,0,21.4
12,Regular,5,7,1.25,4711,0,0,5,0,18.6
13,Regular,7,5,0.6667,4061,0,0,7,0,26.8571
14,Regular,8,4,0.5714,4490,0,0,8,0,26.25
15,Regular,4,8,1.6667,3783,0,0,4,0,24.25
16,Regular,4,8,1.3333,4460,0,0,4,0,17.5
17,Regular,4,8,1.6667,3678,0,0,4,0,21.25
18,Regular,6,6,1,3983,0,0,6,0,25
19,Regular,6,6,1,3479,0,0,6,0,28.3333
20,Regular,6,6,1,5594,0,0,6,0,20.1667
21,Hardcore,5,7,1.25,4433,112,0,3,2,27.6
22,Hardcore,4,8,2.3333,1369,112,0,2,2,32.5
23,Hardcore,6,6,1.2,11395,0,0,6,0,21.1667
24,Hardcore,4,8,2,873,112,0,2,2,31.25
25,Hardcore,6,6,1.2,3767,112,0,4,2,30
26,Hardcore,5,7,1.25,8287,56,0,4,1,25.2
27,Hardcore,5,7,1.25,4979,0,0,5,0,24
28,Hardcore,5,7,1.75,1049,0,0,5,0,34.4
29,Hardcore,5,7,1.25,1714,112,0,3,2,29.6
30,Hardcore,5,7,1.5,3169,0,0,5,0,21.6
31,Hoarder,5,7,1.25,10884,0,0,5,0,9.2
32,Hoarder,5,7,1.25,12732,0,0,5,0,5.6
33,Hoarder,6,6,1.2,9747,0,0,6,0,16.8333
34,Hoarder,5,7,1.25,6004,0,0,5,0,15
35,Hoarder,5,7,0.75,6647,0,0,5,0,17.2
36,Hoarder,5,7,1.75,4914,0,0,5,0,18.2
37,Hoarder,6,6,1,8652,0,0,6,0,12.6667
38,Hoarder,4,8,1,4092,0,0,4,0,18.25
39,Hoarder,5,7,1.5,4920,0,0,5,0,16.8
40,Hoarder,5,7,1.5,3177,0,0,5,0,21.4
41,"Early Locker",6,6,1.2,1557,0,0,6,0,33.5
42,"Early Locker",6,6,0.8,2525,0,0,6,0,31
43,"Early Locker",6,6,1,4614,0,0,6,0,23.8333
44,"Early Locker",5,7,1,1623,0,0,5,0,31.4
45,"Early Locker",8,4,0.5714,8402,0,0,8,0,16.75
46,"Early Locker",8,4,0.2857,5894,0,0,8,0,21.25
47,"Early Locker",5,7,1.5,4281,0,0,5,0,21.2
48,"Early Locker",7,5,0.3333,5651,0,0,7,0,19
49,"Early Locker",8,4,0.5714,8067,0,0,8,0,16.375
50,"Early Locker",9,3,0.375,6038,0,0,9,0,25.2222
51,"Late Deployer",5,7,1.5,5844,0,0,5,0,14.6
52,"Late Deployer",6,6,1.2,9284,56,0,5,1,25.8333
53,"Late Deployer",4,8,1.6667,2981,0,0,4,0,26
54,"Late Deployer",5,7,1.75,4641,0,0,5,0,20.8
55,"Late Deployer",5,7,1.25,2694,0,0,5,0,25.4
56,"Late Deployer",5,7,1.25,2319,56,0,4,1,30.6
57,"Late Deployer",4,8,1.6667,1670,112,0,2,2,36.75
58,"Late Deployer",4,8,2.3333,5641,0,0,4,0,18.75
59,"Late Deployer",4,8,2.3333,7293,0,0,4,0,24
60,"Late Deployer",4,8,2,3002,112,0,2,2,27.5
61,Boost-Focused,4,8,1.6667,2953,112,0,2,2,27.5
62,Boost-Focused,4,8,2.3333,1160,112,0,2,2,34.75
63,Boost-Focused,6,6,1.2,2658,56,0,5,1,29.1667
64,Boost-Focused,4,8,1.6667,1032,168,0,1,3,36.75
65,Boost-Focused,5,7,1.5,1335,112,0,3,2,33.4
66,Boost-Focused,3,9,3,906,112,0,1,2,34.3333
67,Boost-Focused,5,7,1,2702,56,0,4,1,26
68,Boost-Focused,5,7,1,1315,0,0,5,0,31.2
69,Boost-Focused,5,7,1.75,1146,224,0,1,4,37.2
70,Boost-Focused,5,7,1.5,1284,56,0,4,1,37.4
71,Star-Focused,4,8,2.3333,5213,0,0,4,0,15.75
72,Star-Focused,6,6,1,12370,0,0,6,0,8.5
73,Star-Focused,4,8,2.3333,4599,0,0,4,0,15
74,Star-Focused,5,7,1.5,8517,0,0,5,0,13.8
75,Star-Focused,5,7,1.25,9140,0,0,5,0,8.8
76,Star-Focused,4,8,2,5124,0,0,4,0,12.75
77,Star-Focused,5,7,1.5,8288,0,0,5,0,6.6
78,Star-Focused,6,6,1,6364,0,0,6,0,13
79,Star-Focused,5,7,1.25,4283,0,0,5,0,20.4
80,Star-Focused,3,9,4,4023,0,0,3,0,13.3333
81,"Aggressive Sigil User",5,7,1.5,4718,0,0,5,0,19.2
82,"Aggressive Sigil User",6,6,1,4606,0,0,6,0,20.6667
83,"Aggressive Sigil User",5,7,1.5,4845,0,0,5,0,20.6
84,"Aggressive Sigil User",2,10,5,1183,0,0,2,0,24.5
85,"Aggressive Sigil User",5,7,1.25,2992,56,0,4,1,25.4
86,"Aggressive Sigil User",7,5,0.6667,8041,0,0,7,0,18.2857
87,"Aggressive Sigil User",5,7,1.25,3208,0,0,5,0,19.8
88,"Aggressive Sigil User",5,7,1.5,4176,0,0,5,0,22.8
89,"Aggressive Sigil User",5,7,1.75,7628,0,0,5,0,26.4
90,"Aggressive Sigil User",4,8,2.3333,2279,0,0,4,0,27.25
91,"Mostly Idle",5,7,0.75,3528,0,0,5,0,23.2
92,"Mostly Idle",8,4,0.4286,4105,0,0,8,0,27.75
93,"Mostly Idle",9,3,0.375,4372,0,0,9,0,28.4444
94,"Mostly Idle",5,7,1.25,3003,0,0,5,0,26.6
95,"Mostly Idle",5,7,1.5,3295,0,0,5,0,26.8
96,"Mostly Idle",3,9,2.5,2960,0,0,3,0,17
97,"Mostly Idle",5,7,1,5902,0,0,5,0,16
98,"Mostly Idle",4,8,1.6667,3163,0,0,4,0,20.25
99,"Mostly Idle",4,8,1.6667,5406,0,0,4,0,15
100,"Mostly Idle",3,9,2,2282,0,0,3,0,20.3333
