archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1671,1011,10,0,10863,0,0
Regular,10,1338,1066,10,0,8695,0,0
Hardcore,10,379,281,7,3,2681,0,0
Hoarder,10,3837,2264,10,0,24943,0,0
"Early Locker",10,867,1011,10,0,5634,0,0
"Late Deployer",10,1128,321,9,1,7394,0,0
Boost-Focused,10,1445,279,8,2,9529,0,0
Star-Focused,10,3849,3117,10,0,25018,0,0
"Aggressive Sigil User",10,1146,1029,9,1,7518,0,1
"Mostly Idle",10,1107,951,10,0,7192,0,0
