player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,6,6,0.6,11503,0,0,6,0,14.6667
2,Casual,6,6,0.8,6890,0,0,6,0,20.1667
3,Casual,6,6,1.2,8417,0,0,6,0,15.1667
4,Casual,5,7,1.25,5294,0,0,5,0,17.4
5,Casual,6,6,1.2,4290,0,0,6,0,24.5
6,Casual,6,6,0.8,10364,0,0,6,0,17.6667
7,Casual,2,10,3,1632,0,0,2,0,19
8,Casual,6,6,0.8,2823,0,0,6,0,29.6667
9,Casual,3,9,4.5,1641,0,0,3,0,30
10,Casual,4,8,0.3333,1092,0,0,4,0,33.25
11,Regular,7,5,0.6667,8266,0,0,7,0,18.7143
12,Regular,6,6,0.4,4304,0,0,6,0,22
13,Regular,7,5,0.8333,6484,56,0,6,1,25
14,Regular,4,8,2.3333,6555,0,0,4,0,12.5
15,Regular,5,7,1.5,4397,56,0,4,1,28.4
16,Regular,5,7,1,4248,0,0,5,0,22.8
17,Regular,7,5,0.6667,5992,0,0,7,0,21.5714
18,Regular,5,7,1.5,3513,56,0,4,1,22.8
19,Regular,7,5,0.5,3808,0,0,7,0,25.1429
20,Regular,5,7,1.75,5148,0,0,5,0,19
21,Hardcore,5,7,1.5,7705,56,0,4,1,24.6
22,Hardcore,5,7,1.75,2169,56,0,4,1,33.4
23,Hardcore,6,6,1.2,2038,56,0,5,1,34
24,Hardcore,5,7,1.75,749,56,0,4,1,40.4
25,Hardcore,6,6,1.2,3936,0,0,6,0,26.3333
26,Hardcore,6,6,1.2,2353,112,0,4,2,33.6667
27,Hardcore,6,6,1.2,2707,112,0,4,2,30.5
28,Hardcore,3,9,2.5,323,112,0,1,2,39.6667
29,Hardcore,6,6,1,1708,0,0,6,0,32.8333
30,Hardcore,3,9,1.5,4197,56,0,2,1,26.3333
31,Hoarder,5,7,1.25,6905,0,0,5,0,10.2
32,Hoarder,5,7,1.5,6737,0,0,5,0,16.6
33,Hoarder,5,7,1.5,14669,0,0,5,0,7
34,Hoarder,6,6,0.8,9151,0,0,6,0,10.3333
35,Hoarder,6,6,1,11226,0,0,6,0,10.3333
36,Hoarder,6,6,1.2,9536,0,0,6,0,10.5
37,Hoarder,6,6,1.2,12039,0,0,6,0,10.6667
38,Hoarder,5,7,1,9598,0,0,5,0,13.4
39,Hoarder,3,9,2,6257,0,0,3,0,5
40,Hoarder,5,7,1.5,8106,0,0,5,0,11
41,"Early Locker",6,6,0.6,8974,0,0,6,0,20.5
42,"Early Locker",6,6,0.6,4584,0,0,6,0,25.8333
43,"Early Locker",5,7,1.5,2009,0,0,5,0,31
44,"Early Locker",10,2,0.2222,11020,0,0,10,0,24.4
45,"Early Locker",4,8,1.6667,3223,0,0,4,0,20.5
46,"Early Locker",7,5,0.6667,6505,0,0,7,0,18
47,"Early Locker",8,4,0.2857,4748,0,0,8,0,26
48,"Early Locker",10,2,0.2222,5477,0,0,10,0,25.9
49,"Early Locker",8,4,0.4286,4715,0,0,8,0,28.875
50,"Early Locker",6,6,0.8,5717,0,0,6,0,16.6667
51,"Late Deployer",5,7,1.25,1540,56,0,4,1,30.8
52,"Late Deployer",5,7,1,5280,0,0,5,0,15.8
53,"Late Deployer",5,7,1.5,6808,0,0,5,0,18.6
54,"Late Deployer",5,7,1.75,4807,0,0,5,0,21.4
55,"Late Deployer",5,7,1.25,4865,0,0,5,0,18.2
56,"Late Deployer",4,8,2.6667,2714,0,0,4,0,30
57,"Late Deployer",5,7,1.5,3890,0,0,5,0,27.2
58,"Late Deployer",5,7,1.5,7779,0,0,5,0,13
59,"Late Deployer",4,8,1.6667,9205,0,0,4,0,11.5
60,"Late Deployer",5,7,1.75,2743,112,0,3,2,30.6
61,Boost-Focused,5,7,1.5,1373,56,0,4,1,36.2
62,Boost-Focused,3,9,2.5,977,56,0,2,1,32.6667
63,Boost-Focused,4,8,2,2457,56,0,3,1,24.25
64,Boost-Focused,5,7,1.25,1276,0,0,5,0,33.6
65,Boost-Focused,5,7,1.5,3440,56,0,4,1,31.8
66,Boost-Focused,4,8,2,6362,56,0,3,1,29
67,Boost-Focused,5,7,1.75,6464,56,0,4,1,28.8
68,Boost-Focused,4,8,2,998,168,0,1,3,41.5
69,Boost-Focused,5,7,1.25,733,112,0,3,2,36.8
70,Boost-Focused,6,6,1.2,3408,0,0,6,0,30.3333
71,Star-Focused,6,6,1,9354,0,0,6,0,11
72,Star-Focused,6,6,1.2,6760,0,0,6,0,15
73,Star-Focused,5,7,1.5,6905,0,0,5,0,14.6
74,Star-Focused,5,7,1.25,9479,0,0,5,0,8.6
75,Star-Focused,4,8,1.6667,4940,0,0,4,0,15.25
76,Star-Focused,3,9,3.5,4996,0,0,3,0,8.6667
77,Star-Focused,6,6,1,7001,0,0,6,0,16.1667
78,Star-Focused,6,6,1.2,10762,0,0,6,0,10.5
79,Star-Focused,5,7,1.75,7755,0,0,5,0,12.4
80,Star-Focused,4,8,1.6667,5592,0,0,4,0,11
81,"Aggressive Sigil User",5,7,1.5,2834,0,0,5,0,24.4
82,"Aggressive Sigil User",4,8,2,2084,56,0,3,1,25.5
83,"Aggressive Sigil User",5,7,1.75,4025,0,0,5,0,26.6
84,"Aggressive Sigil User",4,8,1.6667,2033,0,0,4,0,25.5
85,"Aggressive Sigil User",5,7,1.75,4280,56,0,4,1,26.4
86,"Aggressive Sigil User",5,7,1.75,4533,56,0,4,1,22.8
87,"Aggressive Sigil User",5,7,1.5,3325,0,0,5,0,30.8
88,"Aggressive Sigil User",6,6,1.2,7624,0,0,6,0,15
89,"Aggressive Sigil User",6,6,1.2,2879,0,0,6,0,30.5
90,"Aggressive Sigil User",4,8,2,2353,0,0,4,0,26.5
91,"Mostly Idle",3,9,2,3577,0,0,3,0,22.6667
92,"Mostly Idle",5,7,1,2379,0,0,5,0,24.6
93,"Mostly Idle",3,9,2.5,360,0,0,3,0,36
94,"Mostly Idle",3,9,3.5,3059,0,0,3,0,16
95,"Mostly Idle",4,8,1.6667,4331,0,0,4,0,16.75
96,"Mostly Idle",7,5,0.6667,7454,0,0,7,0,26.5714
97,"Mostly Idle",6,6,0.8,1633,0,0,6,0,33.3333
98,"Mostly Idle",4,8,0.3333,3159,0,0,4,0,18.75
99,"Mostly Idle",4,8,1.6667,1501,0,0,4,0,29
100,"Mostly Idle",5,7,0.75,2907,0,0,5,0,24.6
