archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,78116,77945,2,0,101551,35,0
Regular,2,78023,71158,2,0,101429,52,1
Hardcore,2,87668,87667,0,2,175448,9,0
Hoarder,2,36132,31238,2,0,46971,131,1
"Early Locker",2,88258,87785,2,0,114735,103,0
"Late Deployer",2,77805,76759,0,2,155722,94,0
Boost-Focused,2,86268,86265,1,1,142399,14,1
Star-Focused,2,87192,84199,1,1,142875,236,1
"Aggressive Sigil User",2,86283,85233,0,2,172679,13,0
"Mostly Idle",2,55558,46112,2,0,72224,45,0
