player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,3,3,1,12077,0,0,3,0,5.6667
2,Casual,3,3,0.5,14006,0,0,3,0,3.6667
3,Regular,3,3,0.5,11503,0,0,3,0,6.6667
4,Regular,1,5,0,2721,0,0,1,0,6
5,Hardcore,3,3,1,24042,56,60,2,1,2.6667
6,Hardcore,1,5,0,6214,56,0,0,1,8
7,Hoarder,2,4,1,9702,0,0,2,0,4.5
8,Hoarder,3,3,1,13746,0,0,3,0,4.6667
9,"Early Locker",3,3,0,18728,0,0,3,0,4.6667
10,"Early Locker",5,1,0.25,26958,0,0,5,0,3.8
11,"Late Deployer",2,4,1,11620,0,0,2,0,6.5
12,"Late Deployer",1,5,0,4900,56,0,0,1,10
13,Boost-Focused,1,5,0,6263,56,0,0,1,5
14,Boost-Focused,3,3,1.5,18055,56,40,2,1,4
15,Star-Focused,1,5,0,6712,0,0,1,0,4
16,Star-Focused,3,3,1.5,23744,0,0,3,0,1.3333
17,"Aggressive Sigil User",3,3,1,18104,0,0,3,0,3.6667
18,"Aggressive Sigil User",2,4,2,11880,112,0,0,2,8
19,"Mostly Idle",3,3,1,8862,0,0,3,0,5.3333
20,"Mostly Idle",3,3,0.5,9476,0,0,3,0,7.3333
