archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,73477,71353,2,0,95519,25,0
Regular,2,71365,71162,1,1,117880,65,1
Hardcore,2,77209,77208,0,2,154631,12,0
Hoarder,2,60894,55015,0,2,121900,205,0
"Early Locker",2,74476,72663,2,0,96817,107,0
"Late Deployer",2,66771,66236,0,2,133655,91,0
Boost-Focused,2,77129,77054,0,2,154371,9,0
Star-Focused,2,76430,75155,2,0,99358,250,2
"Aggressive Sigil User",2,75577,75543,0,2,151267,29,0
"Mostly Idle",2,58079,54639,2,0,75502,76,0
