player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,3,3,1,10939,0,0,3,0,4.6667
2,Casual,4,2,0.3333,14396,0,0,4,0,7.25
3,Regular,2,4,3,9139,0,0,2,0,6.5
4,Regular,4,2,0.6667,31130,0,0,4,0,3
5,Hardcore,2,4,2,17677,112,60,0,2,3
6,Hardcore,1,5,0,7251,56,0,0,1,5
7,Hoarder,2,4,1,5986,0,0,2,0,9
8,Hoarder,2,4,2,10928,0,0,2,0,3.5
9,"Early Locker",4,2,0.6667,16960,0,0,4,0,6
10,"Early Locker",4,2,0.3333,24748,0,0,4,0,5
11,"Late Deployer",2,4,3,12319,112,0,0,2,9.5
12,"Late Deployer",0,6,0,0,0,0,0,0,0
13,Boost-Focused,2,4,1,12270,56,0,1,1,5.5
14,Boost-Focused,2,4,2,14350,112,0,0,2,5.5
15,Star-Focused,3,3,1,27884,0,0,3,0,3
16,Star-Focused,3,3,1,19622,0,0,3,0,5.6667
17,"Aggressive Sigil User",2,4,2,14006,56,40,1,1,2.5
18,"Aggressive Sigil User",3,3,1,22091,0,0,3,0,4
19,"Mostly Idle",3,3,1,5512,0,0,3,0,8.6667
20,"Mostly Idle",5,1,0.25,28289,0,0,5,0,4
