archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,76516,74450,1,1,127031,30,0
Regular,2,88514,87887,2,0,115067,45,0
Hardcore,2,89660,89659,0,2,179473,9,0
Hoarder,2,57986,47082,2,0,75382,202,1
"Early Locker",2,91091,83025,2,0,118418,89,0
"Late Deployer",2,80715,80364,0,2,161542,59,0
Boost-Focused,2,89593,89591,0,2,179299,5,0
Star-Focused,2,96478,87617,1,1,156143,225,1
"Aggressive Sigil User",2,89120,88682,0,2,178352,12,0
"Mostly Idle",2,73808,63676,2,0,95950,39,0
