player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,4,2,0.3333,13286,0,0,4,0,6
2,Casual,3,3,0.5,8891,0,0,3,0,7.3333
3,Regular,2,4,2,9550,0,0,2,0,2
4,Regular,2,4,1,9665,0,0,2,0,5
5,Hardcore,2,4,4,16801,112,40,0,2,3.5
6,Hardcore,3,3,1.5,25076,112,60,1,2,2.6667
7,Hoarder,3,3,1,11182,0,0,3,0,6
8,Hoarder,2,4,0,5966,0,0,2,0,8.5
9,"Early Locker",3,3,1.5,9653,0,0,3,0,8
10,"Early Locker",4,2,0.6667,23286,0,0,4,0,3.75
11,"Late Deployer",2,4,2,12520,112,0,0,2,6
12,"Late Deployer",2,4,2,15348,56,0,1,1,3
13,Boost-Focused,2,4,1,10962,56,0,1,1,6
14,Boost-Focused,2,4,1,11255,56,0,1,1,5
15,Star-Focused,1,5,0,8057,56,40,0,1,3
16,Star-Focused,3,3,1.5,24621,0,0,3,0,2.3333
17,"Aggressive Sigil User",2,4,2,12371,56,60,1,1,2
18,"Aggressive Sigil User",1,5,0,8422,56,60,0,1,2
19,"Mostly Idle",4,2,0.3333,12690,0,0,4,0,6
20,"Mostly Idle",3,3,1,18264,0,0,3,0,3.6667
