archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,2,56554,53271,1,1,94519,37,0
Regular,2,65531,65526,0,2,131174,41,0
Hardcore,2,67865,67862,0,2,135843,11,0
Hoarder,2,54381,54083,0,2,108874,204,0
"Early Locker",2,54738,37991,2,0,71159,61,0
"Late Deployer",2,63229,63137,0,2,126570,63,0
Boost-Focused,2,67866,67864,0,2,135844,8,0
Star-Focused,2,68033,66791,1,1,111875,217,1
"Aggressive Sigil User",2,68294,67632,1,1,112509,7,0
"Mostly Idle",2,45205,38120,2,0,58767,55,0
