player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,1,5,0,1587,0,0,1,0,12
2,Casual,3,3,1.5,14530,0,0,3,0,7
3,Regular,2,4,3,14488,112,0,0,2,7.5
4,Regular,4,2,0.6667,19716,0,0,4,0,4.25
5,Hardcore,2,4,2,16631,112,40,0,2,4
6,Hardcore,2,4,3,18041,112,40,0,2,3.5
7,Hoarder,2,4,1,7513,0,0,2,0,3
8,Hoarder,3,3,1,15766,0,0,3,0,2.6667
9,"Early Locker",2,4,2,8566,0,0,2,0,4.5
10,"Early Locker",2,4,1,11510,0,0,2,0,5.5
11,"Late Deployer",2,4,2,9379,56,0,1,1,4.5
12,"Late Deployer",3,3,1.5,20487,0,0,3,0,3.6667
13,Boost-Focused,2,4,2,15956,112,0,0,2,5
14,Boost-Focused,2,4,2,15739,112,0,0,2,6
15,Star-Focused,3,3,1.5,13436,0,0,3,0,5.6667
16,Star-Focused,2,4,2,9791,0,0,2,0,1.5
17,"Aggressive Sigil User",2,4,1,17092,0,0,2,0,1.5
18,"Aggressive Sigil User",2,4,3,13861,56,0,1,1,6
19,"Mostly Idle",2,4,0,5100,0,0,2,0,9
20,"Mostly Idle",3,3,0.5,11835,0,0,3,0,5.3333
