archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1470,1004,10,0,9553,0,0
Regular,10,1315,909,10,0,8546,0,1
Hardcore,10,495,277,6,4,3512,0,1
Hoarder,10,2097,1760,10,0,13631,0,0
"Early Locker",10,1265,559,10,0,8221,0,0
"Late Deployer",10,1802,1013,10,0,11710,0,0
Boost-Focused,10,1494,284,7,3,9922,0,1
Star-Focused,10,2446,2270,10,0,15897,0,0
"Aggressive Sigil User",10,730,425,8,2,4887,0,0
"Mostly Idle",10,691,302,10,0,4493,0,0
