player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,8,4,0.4286,7609,0,0,8,0,20.125
2,Casual,6,6,1.2,7637,0,0,6,0,14.6667
3,Casual,8,4,0.2857,4944,0,0,8,0,25.5
4,Casual,3,9,2.5,2715,52,0,2,1,24.6667
5,Casual,3,9,4.5,3304,0,0,3,0,16.6667
6,Casual,2,10,2,1183,0,0,2,0,25
7,Casual,4,8,2,2487,0,0,4,0,22.75
8,Casual,7,5,0.6667,7977,0,0,7,0,18
9,Casual,4,8,1.3333,6585,0,0,4,0,11.5
10,Casual,6,6,1,6267,0,0,6,0,16.8333
11,Regular,8,4,0.5714,7370,0,0,8,0,19.75
12,Regular,4,8,1.3333,2311,0,0,4,0,28.75
13,Regular,6,6,1,4352,56,0,5,1,25.5
14,Regular,5,7,1.75,10375,56,0,4,1,21.8
15,Regular,4,8,2.3333,6100,0,0,4,0,13.5
16,Regular,5,7,0.75,4723,0,0,5,0,21
17,Regular,6,6,1,5534,0,0,6,0,19.1667
18,Regular,6,6,1.2,5154,0,0,6,0,24.3333
19,Regular,5,7,1.5,5395,0,0,5,0,18.6
20,Regular,5,7,1.5,5021,56,0,4,1,23.2
21,Hardcore,5,7,1.25,869,112,0,3,2,36
22,Hardcore,4,8,2.6667,581,112,0,2,2,39
23,Hardcore,4,8,2,557,112,0,2,2,38
24,Hardcore,5,7,1.25,2627,112,0,3,2,31.6
25,Hardcore,5,7,1,2616,56,0,4,1,27.2
26,Hardcore,5,7,1.5,7118,56,0,4,1,24.6
27,Hardcore,5,7,1.5,2903,0,0,5,0,25
28,Hardcore,5,7,1.75,3669,112,0,3,2,25.2
29,Hardcore,5,7,1.5,13605,0,0,5,0,16.6
30,Hardcore,3,9,2,1055,56,0,2,1,31.6667
31,Hoarder,6,6,1,10728,0,0,6,0,13.6667
32,Hoarder,6,6,1.2,7308,0,0,6,0,15.1667
