archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2643,1556,10,0,17181,0,1
Regular,10,954,613,10,0,6197,0,0
Hardcore,10,1092,534,10,0,7098,0,0
Hoarder,10,2152,2014,10,0,13983,0,0
"Early Locker",10,1225,1164,10,0,7962,0,0
"Late Deployer",10,1192,761,9,1,7812,0,1
Boost-Focused,10,1412,51,5,5,9543,0,0
Star-Focused,10,1825,1123,10,0,11860,0,0
"Aggressive Sigil User",10,2375,1282,10,0,15437,0,1
"Mostly Idle",10,838,753,10,0,5445,0,0
