player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,5,7,1.25,2956,0,0,5,0,27.8
2,Casual,6,6,0.8,4257,0,0,6,0,24.8333
3,Casual,4,8,2.6667,3316,0,0,4,0,26.5
4,Casual,7,5,0.8333,8620,0,0,7,0,16.2857
5,Casual,5,7,1.5,4807,0,0,5,0,21.4
6,Casual,8,4,0.4286,5629,0,0,8,0,25.75
7,Casual,4,8,2,3600,0,0,4,0,18.75
8,Casual,4,8,1.6667,6761,0,0,4,0,12.75
9,Casual,5,7,1,4780,0,0,5,0,21.8
10,Casual,8,4,0.4286,8007,0,0,8,0,20.25
11,Regular,5,7,1.5,4009,0,0,5,0,21.6
12,Regular,3,9,2,2437,0,0,3,0,19.6667
13,Regular,6,6,0.8,5806,0,0,6,0,19.3333
14,Regular,8,4,0.5714,11078,0,0,8,0,14.125
15,Regular,6,6,0.8,5244,56,0,5,1,24.1667
16,Regular,6,6,0.8,11079,0,0,6,0,25.8333
17,Regular,5,7,1.5,5986,0,0,5,0,22.4
18,Regular,6,6,0.6,4333,0,0,6,0,23.1667
19,Regular,7,5,0.5,8642,56,0,6,1,20.5714
20,Regular,6,6,0.8,4526,0,0,6,0,24.1667
21,Hardcore,5,7,1.25,2198,112,0,3,2,32.6
22,Hardcore,6,6,1.2,3571,0,0,6,0,26.3333
23,Hardcore,4,8,2,1254,56,0,3,1,33
24,Hardcore,5,7,1.5,3130,56,0,4,1,27.2
25,Hardcore,6,6,1,2841,0,0,6,0,28.1667
26,Hardcore,5,7,1.5,935,112,0,3,2,37.4
27,Hardcore,5,7,1.25,1572,56,0,4,1,31.2
28,Hardcore,5,7,1.25,1266,56,0,4,1,34.8
29,Hardcore,6,6,1.2,4052,0,0,6,0,24.6667
30,Hardcore,5,7,1.5,7342,56,0,4,1,24.4
31,Hoarder,6,6,0.6,7723,0,0,6,0,14.1667
32,Hoarder,5,7,1.75,6792,0,0,5,0,13
33,Hoarder,5,7,1.5,6779,0,0,5,0,12.6
34,Hoarder,5,7,1,8372,0,0,5,0,14
35,Hoarder,6,6,0.8,13349,0,0,6,0,7.6667
36,Hoarder,7,5,0.8333,11518,0,0,7,0,11.7143
37,Hoarder,5,7,1.25,7830,0,0,5,0,11.2
38,Hoarder,7,5,0.8333,9814,0,0,7,0,15.1429
39,Hoarder,6,6,1.2,13447,0,0,6,0,7.8333
40,Hoarder,5,7,1.5,6230,0,0,5,0,17.4
41,"Early Locker",8,4,0.2857,4433,0,0,8,0,25.875
42,"Early Locker",5,7,1.5,6257,0,0,5,0,14.4
43,"Early Locker",7,5,0.6667,5886,0,0,7,0,23
44,"Early Locker",9,3,0.25,9039,0,0,9,0,20
45,"Early Locker",5,7,1,3594,0,0,5,0,24.6
46,"Early Locker",5,7,0.75,9107,0,0,5,0,18.6
47,"Early Locker",7,5,0.3333,3792,0,0,7,0,25.8571
48,"Early Locker",6,6,0.8,9808,0,0,6,0,15.3333
49,"Early Locker",6,6,1,6005,0,0,6,0,16.8333
50,"Early Locker",8,4,0.4286,5792,0,0,8,0,25
51,"Late Deployer",4,8,2.3333,1767,56,0,3,1,29.75
52,"Late Deployer",5,7,1.5,11338,0,0,5,0,9
53,"Late Deployer",3,9,3.5,2559,56,0,2,1,24.6667
54,"Late Deployer",3,9,1.5,2875,56,0,2,1,23
55,"Late Deployer",5,7,1.5,3916,56,0,4,1,26.6
56,"Late Deployer",6,6,1,6481,0,0,6,0,21.6667
57,"Late Deployer",5,7,1.25,6402,0,0,5,0,18.8
58,"Late Deployer",5,7,1.5,7673,56,0,4,1,17.4
59,"Late Deployer",5,7,1.25,10048,0,0,5,0,14.6
60,"Late Deployer",5,7,1.5,4800,56,0,4,1,18.6
61,Boost-Focused,4,8,2.3333,473,224,0,0,4,44.5
62,Boost-Focused,4,8,2,471,112,0,2,2,37.5
63,Boost-Focused,4,8,2.3333,444,168,0,1,3,42.5
64,Boost-Focused,5,7,1.75,2509,0,0,5,0,25.4
65,Boost-Focused,5,7,1.25,666,112,0,3,2,40.6
66,Boost-Focused,6,6,1.2,5060,56,0,5,1,22.3333
67,Boost-Focused,4,8,2,871,56,0,3,1,33.25
68,Boost-Focused,4,8,1.6667,2270,112,0,2,2,32.25
69,Boost-Focused,4,8,2.3333,474,224,0,0,4,44.5
70,Boost-Focused,4,8,1.6667,2251,112,0,2,2,37.25
71,Star-Focused,4,8,1.6667,5315,0,0,4,0,13.5
72,Star-Focused,3,9,1.5,4510,0,0,3,0,13.6667
73,Star-Focused,4,8,1.3333,5028,0,0,4,0,13.25
74,Star-Focused,4,8,2.3333,7294,0,0,4,0,8.75
75,Star-Focused,5,7,1.25,7735,0,0,5,0,16
76,Star-Focused,5,7,1.5,10079,0,0,5,0,11.4
77,Star-Focused,5,7,1.25,12462,0,0,5,0,7.2
78,Star-Focused,5,7,1.5,5565,0,0,5,0,16.4
79,Star-Focused,6,6,1.2,10022,0,0,6,0,12.6667
80,Star-Focused,4,8,1.3333,3104,0,0,4,0,26.5
81,"Aggressive Sigil User",5,7,1.25,2686,56,0,4,1,30.8
82,"Aggressive Sigil User",5,7,1.25,2997,56,0,4,1,29.8
83,"Aggressive Sigil User",4,8,1.6667,2136,56,0,3,1,31.25
84,"Aggressive Sigil User",5,7,1.5,2041,56,0,4,1,32.6
85,"Aggressive Sigil User",5,7,1.5,2135,0,0,5,0,31.6
86,"Aggressive Sigil User",4,8,1.6667,4254,56,0,3,1,23
87,"Aggressive Sigil User",4,8,1.3333,2253,0,0,4,0,28.5
88,"Aggressive Sigil User",5,7,1.5,5411,0,0,5,0,16
89,"Aggressive Sigil User",5,7,1.75,1360,0,0,5,0,33.2
90,"Aggressive Sigil User",5,7,1.5,5058,0,0,5,0,18
91,"Mostly Idle",5,7,0.75,2908,0,0,5,0,26.4
92,"Mostly Idle",5,7,0.75,3461,0,0,5,0,25
93,"Mostly Idle",6,6,1.2,3726,0,0,6,0,27.1667
94,"Mostly Idle",6,6,0.8,3957,0,0,6,0,25.1667
95,"Mostly Idle",4,8,0.6667,1178,0,0,4,0,33.5
96,"Mostly Idle",9,3,0.25,6493,0,0,9,0,26.2222
97,"Mostly Idle",8,4,0.5714,7755,0,0,8,0,20.75
98,"Mostly Idle",4,8,2,4244,0,0,4,0,19.5
99,"Mostly Idle",4,8,1.6667,3158,0,0,4,0,23
100,"Mostly Idle",4,8,1.6667,3166,0,0,4,0,21
