archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1472,1305,10,0,9566,0,0
Regular,10,1513,1168,10,0,9834,0,1
Hardcore,10,352,182,8,2,2436,0,1
Hoarder,10,2635,2303,10,0,17125,0,0
"Early Locker",10,852,610,10,0,5537,0,0
"Late Deployer",10,1218,315,6,4,8177,0,0
Boost-Focused,10,549,281,6,4,3855,0,0
Star-Focused,10,2333,2272,10,0,15160,0,0
"Aggressive Sigil User",10,1251,1023,9,1,8200,0,0
"Mostly Idle",10,1137,804,10,0,7390,0,0
