player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,6,6,1,5785,0,0,6,0,19
2,Casual,6,6,1,3058,0,0,6,0,26.1667
3,Casual,8,4,0.5714,5859,0,0,8,0,22.5
4,Casual,6,6,0.8,5105,0,0,6,0,20.8333
5,Casual,6,6,0.4,4358,0,0,6,0,24
6,Casual,6,6,1,8644,0,0,6,0,18
7,Casual,7,5,0.8333,6666,0,0,7,0,20.5714
8,Casual,6,6,0.4,4030,0,0,6,0,23.6667
9,Casual,5,7,1.5,5620,0,0,5,0,19.4
10,Casual,4,8,2,4730,0,0,4,0,21.5
11,Regular,8,4,0.4286,8656,56,0,7,1,20.5
12,Regular,5,7,1.25,10395,0,0,5,0,12.8
13,Regular,3,9,3.5,2125,0,0,3,0,21
14,Regular,8,4,0.5714,7406,0,0,8,0,21.25
15,Regular,5,7,1.25,10207,0,0,5,0,10.4
16,Regular,7,5,0.8333,4468,0,0,7,0,23.5714
17,Regular,4,8,1.6667,7378,0,0,4,0,21.25
18,Regular,7,5,0.8333,7598,0,0,7,0,17.8571
19,Regular,3,9,3,1435,0,0,3,0,26.3333
20,Regular,3,9,2.5,954,56,0,2,1,36.6667
21,Hardcore,5,7,1.25,1901,56,0,4,1,29.8
22,Hardcore,5,7,1.5,2228,0,0,5,0,30
23,Hardcore,5,7,1.75,1428,112,0,3,2,34.2
24,Hardcore,5,7,1.5,2668,112,0,3,2,31.6
25,Hardcore,5,7,1.5,1211,112,0,3,2,37.4
26,Hardcore,5,7,1.25,3102,56,0,4,1,29.8
27,Hardcore,5,7,1,12651,0,0,5,0,8.2
28,Hardcore,5,7,1.25,1517,112,0,3,2,31.4
29,Hardcore,6,6,1,2846,0,0,6,0,31
30,Hardcore,5,7,1.5,2704,56,0,4,1,29.2
31,Hoarder,5,7,0.75,7648,0,0,5,0,13
32,Hoarder,5,7,1,5624,0,0,5,0,18.2
33,Hoarder,4,8,1.6667,9407,56,0,3,1,19.5
34,Hoarder,4,8,1,5228,0,0,4,0,16.25
35,Hoarder,5,7,1.75,11123,0,0,5,0,12
36,Hoarder,2,10,3,2777,0,0,2,0,15.5
37,Hoarder,4,8,1,5735,0,0,4,0,11.75
38,Hoarder,4,8,1.3333,4683,0,0,4,0,18.75
39,Hoarder,7,5,0.8333,11879,0,0,7,0,19.5714
40,Hoarder,4,8,1.6667,7849,0,0,4,0,6.25
41,"Early Locker",10,2,0,4623,0,0,10,0,30.4
42,"Early Locker",7,5,0.6667,4449,0,0,7,0,24.8571
43,"Early Locker",11,1,0.1,8035,0,0,11,0,23.1818
44,"Early Locker",5,7,1.25,9019,0,0,5,0,16.4
45,"Early Locker",8,4,0.4286,10081,0,0,8,0,16.5
46,"Early Locker",8,4,0.5714,5749,0,0,8,0,22
47,"Early Locker",4,8,1.3333,3062,0,0,4,0,23.75
48,"Early Locker",5,7,1.75,5299,0,0,5,0,20.4
49,"Early Locker",8,4,0.4286,10063,0,0,8,0,15.75
50,"Early Locker",6,6,1.2,6949,0,0,6,0,19.5
51,"Late Deployer",4,8,2.3333,3096,56,0,3,1,26.25
52,"Late Deployer",5,7,1.5,2570,0,0,5,0,27
53,"Late Deployer",5,7,1.25,5200,0,0,5,0,22
54,"Late Deployer",5,7,1.5,3740,56,0,4,1,23
55,"Late Deployer",5,7,1.25,2782,0,0,5,0,27.4
56,"Late Deployer",5,7,1,4035,56,0,4,1,25.2
57,"Late Deployer",5,7,1.75,3214,0,0,5,0,25.2
58,"Late Deployer",4,8,2.3333,2427,0,0,4,0,22.5
59,"Late Deployer",4,8,2,3134,0,0,4,0,21.75
60,"Late Deployer",5,7,1.75,5014,56,0,4,1,25
61,Boost-Focused,5,7,1.5,974,112,0,3,2,39.4
62,Boost-Focused,5,7,1.5,632,168,0,2,3,42.2
63,Boost-Focused,3,9,3,988,56,0,2,1,36
64,Boost-Focused,5,7,1.25,1189,112,0,3,2,34.8
65,Boost-Focused,4,8,2.3333,620,112,0,2,2,39.25
