archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,1126,556,10,0,7314,0,0
Regular,10,2209,1070,10,0,14358,0,0
Hardcore,10,322,128,6,4,2384,0,0
Hoarder,10,2224,1809,10,0,14457,0,0
"Early Locker",10,1306,1011,10,0,8488,0,0
"Late Deployer",10,1308,511,8,2,8629,0,0
Boost-Focused,10,139,42,4,6,1329,0,1
Star-Focused,10,2240,1769,10,0,14557,0,0
"Aggressive Sigil User",10,2354,1112,9,1,15367,0,0
"Mostly Idle",10,767,252,10,0,4983,0,0
