player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,6,6,1,7046,0,0,6,0,23.3333
2,Casual,5,7,1.5,4772,0,0,5,0,19.4
3,Casual,4,8,2,2649,0,0,4,0,25.25
4,Casual,5,7,1.5,4380,0,0,5,0,20.4
5,Casual,5,7,1.25,3995,0,0,5,0,22.4
6,Casual,8,4,0.2857,10087,0,0,8,0,16.375
7,Casual,7,5,0.6667,9081,0,0,7,0,18.5714
8,Casual,6,6,1,4253,0,0,6,0,24.6667
9,Casual,7,5,0.5,5359,0,0,7,0,23.2857
10,Casual,5,7,0.75,6569,0,0,5,0,15
11,Regular,6,6,0.4,4305,0,0,6,0,26.8333
12,Regular,5,7,0.75,6718,0,0,5,0,12.4
13,Regular,7,5,0.5,5540,0,0,7,0,21
14,Regular,7,5,0.8333,8366,0,0,7,0,17.1429
15,Regular,5,7,1.5,11341,0,0,5,0,14.2
16,Regular,5,7,1,4290,0,0,5,0,23.4
17,Regular,3,9,2,3370,0,0,3,0,17.3333
18,Regular,6,6,1,7437,0,0,6,0,16.6667
19,Regular,6,6,0.8,5168,0,0,6,0,23
20,Regular,7,5,0.8333,5895,0,0,7,0,21.8571
21,Hardcore,6,6,1.2,1034,112,0,4,2,34.8333
22,Hardcore,5,7,1.25,1415,56,0,4,1,31.8
23,Hardcore,5,7,1.5,2839,56,0,4,1,28.4
24,Hardcore,4,8,1.3333,10578,0,0,4,0,15.25
25,Hardcore,4,8,2,1280,56,0,3,1,32.75
26,Hardcore,6,6,1.2,3643,56,0,5,1,29
27,Hardcore,5,7,1.25,7506,112,0,3,2,26.4
28,Hardcore,5,7,1.25,7079,0,0,5,0,26.8
29,Hardcore,6,6,1.2,8642,56,0,5,1,26.5
30,Hardcore,5,7,1.25,1872,56,0,4,1,31.2
31,Hoarder,5,7,1.5,8782,0,0,5,0,7.2
32,Hoarder,4,8,1,4619,0,0,4,0,15.5
33,Hoarder,5,7,1.5,19183,0,0,5,0,5.2
34,Hoarder,6,6,1.2,6108,0,0,6,0,17.5
35,Hoarder,7,5,0.8333,20302,0,0,7,0,7.5714
36,Hoarder,2,10,2,3498,0,0,2,0,7.5
37,Hoarder,6,6,1,13687,0,0,6,0,5.6667
38,Hoarder,7,5,0.6667,10519,0,0,7,0,14.5714
39,Hoarder,6,6,1.2,8412,0,0,6,0,13.3333
40,Hoarder,5,7,1.25,6139,0,0,5,0,11.8
41,"Early Locker",6,6,1,3684,0,0,6,0,27.1667
42,"Early Locker",7,5,0.6667,6114,0,0,7,0,24.7143
43,"Early Locker",8,4,0.4286,3750,0,0,8,0,29.75
44,"Early Locker",6,6,0.4,4193,0,0,6,0,23.5
45,"Early Locker",6,6,0.8,7699,0,0,6,0,14.3333
46,"Early Locker",6,6,1,5195,0,0,6,0,21
47,"Early Locker",5,7,1,5802,0,0,5,0,19.6
48,"Early Locker",7,5,0.3333,6059,0,0,7,0,19.4286
49,"Early Locker",8,4,0.2857,6543,0,0,8,0,23.75
50,"Early Locker",4,8,2.3333,2339,0,0,4,0,22.75
51,"Late Deployer",3,9,2,4254,0,0,3,0,14.3333
52,"Late Deployer",5,7,1.25,3084,56,0,4,1,25.8
53,"Late Deployer",5,7,1.5,1782,56,0,4,1,29.4
54,"Late Deployer",5,7,1.5,6055,0,0,5,0,15.8
55,"Late Deployer",4,8,2,3489,0,0,4,0,21.25
56,"Late Deployer",3,9,4,1992,56,0,2,1,27.6667
57,"Late Deployer",4,8,2.3333,1651,56,0,3,1,31
58,"Late Deployer",5,7,1.25,5228,56,0,4,1,23.2
59,"Late Deployer",4,8,2,3198,0,0,4,0,21.75
60,"Late Deployer",4,8,1.6667,4436,0,0,4,0,15.25
61,Boost-Focused,4,8,1.6667,1077,56,0,3,1,33
