player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,6,6,1.2,6391,0,0,6,0,8.5
2,Casual,6,6,1,4947,0,0,6,0,10
3,Casual,5,7,1.75,4945,0,0,5,0,9.8
4,Casual,5,7,1.5,3615,0,0,5,0,9.8
5,Casual,6,6,1,4339,0,0,6,0,12.1667
6,Regular,6,6,0.8,4038,56,0,5,1,14
7,Regular,5,7,1,9449,0,0,5,0,9
8,Regular,7,5,0.6667,4805,0,0,7,0,13.2857
9,Regular,7,5,0.6667,7958,0,0,7,0,9
10,Regular,5,7,1,4432,0,0,5,0,11.4
11,Hardcore,5,7,1.5,1441,56,0,4,1,19.2
12,Hardcore,4,8,2.3333,648,112,0,2,2,20.5
13,Hardcore,5,7,1.5,2849,56,0,4,1,16.8
14,Hardcore,5,7,1.5,3454,56,0,4,1,15
15,Hardcore,5,7,1.5,1282,56,0,4,1,16.4
16,Hoarder,7,5,0.8333,13404,0,0,7,0,5.4286
17,Hoarder,4,8,2,8444,0,0,4,0,3.5
18,Hoarder,5,7,1,6345,0,0,5,0,8.4
19,Hoarder,4,8,2,9698,0,0,4,0,5
20,Hoarder,5,7,1.5,15864,0,0,5,0,6
21,"Early Locker",6,6,0.8,5912,0,0,6,0,9.1667
22,"Early Locker",8,4,0.2857,4716,0,0,8,0,12.25
23,"Early Locker",7,5,0.6667,6874,0,0,7,0,11.4286
24,"Early Locker",7,5,0.5,3949,0,0,7,0,13.8571
25,"Early Locker",10,2,0.2222,7374,0,0,10,0,11.5
26,"Late Deployer",3,9,4,6538,0,0,3,0,4.6667
27,"Late Deployer",3,9,2.5,683,0,0,3,0,18.3333
28,"Late Deployer",6,6,1.2,5334,0,0,6,0,11.8333
29,"Late Deployer",5,7,1.5,4584,56,0,4,1,12.8
30,"Late Deployer",5,7,1.75,5232,0,0,5,0,11.2
31,Boost-Focused,4,8,2.3333,1318,56,0,3,1,18
32,Boost-Focused,5,7,1.5,6396,168,0,2,3,18
33,Boost-Focused,4,8,2,1044,168,0,1,3,18.25
34,Boost-Focused,4,8,2,1626,0,0,4,0,15.75
35,Boost-Focused,5,7,1.5,894,112,0,3,2,20.6
36,Star-Focused,4,8,2,6806,0,0,4,0,6
37,Star-Focused,5,7,1,7798,0,0,5,0,4
38,Star-Focused,4,8,1.6667,9273,0,0,4,0,6.5
39,Star-Focused,4,8,2.6667,6671,0,0,4,0,5.25
40,Star-Focused,4,8,1.3333,4727,0,0,4,0,7.5
41,"Aggressive Sigil User",6,6,1.2,6510,0,0,6,0,8.8333
42,"Aggressive Sigil User",5,7,1.25,1385,112,0,3,2,18.2
43,"Aggressive Sigil User",5,7,1.25,5189,0,0,5,0,10.4
44,"Aggressive Sigil User",4,8,2,5458,0,0,4,0,6
45,"Aggressive Sigil User",5,7,1.5,10458,0,0,5,0,6.8
46,"Mostly Idle",4,8,1.6667,2940,0,0,4,0,11.25
47,"Mostly Idle",5,7,0.5,2804,0,0,5,0,12.6
48,"Mostly Idle",4,8,0.6667,1310,0,0,4,0,15.5
49,"Mostly Idle",4,8,1.6667,2549,0,0,4,0,12.5
50,"Mostly Idle",4,8,0.3333,2186,0,0,4,0,14.5
