player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,5,7,1.5,4156,0,0,5,0,10.4
2,Casual,4,8,1.6667,5850,0,0,4,0,6
3,Casual,5,7,1.25,4357,0,0,5,0,10.2
4,Casual,6,6,0.8,3171,56,0,5,1,15.6667
5,Casual,7,5,0.5,6255,0,0,7,0,10.8571
6,Regular,5,7,1.25,6386,0,0,5,0,8.6
7,Regular,7,5,0.8333,6343,0,0,7,0,10.5714
8,Regular,5,7,1.25,4120,56,0,4,1,14
9,Regular,6,6,0.4,8399,0,0,6,0,7
10,Regular,4,8,1.3333,3688,0,0,4,0,12.25
11,Hardcore,4,8,1.6667,1143,112,0,2,2,20.75
12,Hardcore,5,7,1,1754,0,0,5,0,18.4
13,Hardcore,5,7,1.25,3587,0,0,5,0,14.2
14,Hardcore,6,6,1.2,2038,56,0,5,1,17.5
15,Hardcore,6,6,1,1702,0,0,6,0,18.5
16,Hoarder,6,6,1,11579,0,0,6,0,6.1667
17,Hoarder,6,6,1,11684,0,0,6,0,4.5
18,Hoarder,6,6,1.2,8098,0,0,6,0,9.3333
19,Hoarder,5,7,1.5,14143,0,0,5,0,5.6
20,Hoarder,5,7,1.5,8897,0,0,5,0,8
21,"Early Locker",7,5,0.6667,7478,0,0,7,0,9.5714
22,"Early Locker",10,2,0.2222,6648,0,0,10,0,13.9
23,"Early Locker",10,2,0.2222,9496,0,0,10,0,10.5
24,"Early Locker",6,6,0.6,6296,0,0,6,0,9.3333
25,"Early Locker",7,5,0.8333,3090,0,0,7,0,15.4286
26,"Late Deployer",5,7,1.25,5290,0,0,5,0,10.6
27,"Late Deployer",6,6,1,4528,0,0,6,0,12.8333
28,"Late Deployer",3,9,1,3485,0,0,3,0,11
29,"Late Deployer",5,7,1.25,7711,0,0,5,0,10.2
30,"Late Deployer",4,8,2,5813,56,0,3,1,9.5
31,Boost-Focused,6,6,1.2,15565,0,0,6,0,11.3333
32,Boost-Focused,4,8,1.3333,1071,56,0,3,1,17.5
33,Boost-Focused,4,8,2.3333,2405,112,0,2,2,16.25
34,Boost-Focused,4,8,1.3333,1341,56,0,3,1,16
35,Boost-Focused,4,8,2,464,224,0,0,4,20.75
36,Star-Focused,4,8,2,6905,0,0,4,0,5.25
37,Star-Focused,5,7,1.25,10654,0,0,5,0,5.6
38,Star-Focused,5,7,1,13531,0,0,5,0,10.4
39,Star-Focused,3,9,3.5,3767,0,0,3,0,9.3333
40,Star-Focused,6,6,1,12603,0,0,6,0,5.5
41,"Aggressive Sigil User",2,10,5,6580,0,0,2,0,7.5
42,"Aggressive Sigil User",3,9,3,2400,0,0,3,0,11
43,"Aggressive Sigil User",4,8,2,2485,56,0,3,1,13.5
44,"Aggressive Sigil User",5,7,1.25,4736,0,0,5,0,11.4
45,"Aggressive Sigil User",4,8,2,3273,0,0,4,0,13.75
46,"Mostly Idle",5,7,1.25,3367,0,0,5,0,12.2
47,"Mostly Idle",7,5,0.6667,4635,0,0,7,0,12.8571
48,"Mostly Idle",7,5,0.8333,4729,0,0,7,0,13.4286
49,"Mostly Idle",5,7,0.75,5082,0,0,5,0,10.6
50,"Mostly Idle",4,8,1.3333,2543,0,0,4,0,15.25
