player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,6,6,1,11515,0,0,6,0,6.6667
2,Casual,5,7,1.75,4642,0,0,5,0,7.8
3,Casual,6,6,0.8,10838,0,0,6,0,7
4,Regular,6,6,1,9486,0,0,6,0,5
5,Regular,8,4,0.5714,7434,0,0,8,0,7.875
6,Regular,3,9,1,1218,0,0,3,0,13.3333
7,Hardcore,6,6,1.2,7774,0,0,6,0,9.5
8,Hardcore,5,7,1.75,1106,112,0,3,2,12
9,Hardcore,6,6,1,4312,0,0,6,0,9.5
10,Hoarder,6,6,1.2,13293,0,0,6,0,3.5
11,Hoarder,5,7,1.5,5801,0,0,5,0,7.2
12,Hoarder,6,6,1.2,12914,0,0,6,0,2.3333
13,"Early Locker",6,6,1,6858,56,0,5,1,5.8333
14,"Early Locker",7,5,0.6667,4827,0,0,7,0,9
15,"Early Locker",7,5,0.8333,5160,0,0,7,0,9.2857
16,"Late Deployer",5,7,1.75,3498,56,0,4,1,10.2
17,"Late Deployer",3,9,1,2558,56,0,2,1,5
18,"Late Deployer",5,7,1.25,5011,0,0,5,0,5.4
19,Boost-Focused,4,8,1.6667,1147,112,0,2,2,12.25
20,Boost-Focused,4,8,2.6667,640,112,0,2,2,13.75
21,Boost-Focused,4,8,1.6667,1173,112,0,2,2,11
22,Star-Focused,4,8,2,6327,0,0,4,0,4.5
23,Star-Focused,5,7,1.5,14306,0,0,5,0,3
24,Star-Focused,5,7,1.25,6027,0,0,5,0,4.4
25,"Aggressive Sigil User",5,7,1,4186,0,0,5,0,8.8
26,"Aggressive Sigil User",6,6,0.8,3950,0,0,6,0,7
27,"Aggressive Sigil User",5,7,1.5,3827,0,0,5,0,7.8
28,"Mostly Idle",3,9,1.5,4530,0,0,3,0,7
29,"Mostly Idle",6,6,1,3883,0,0,6,0,7.8333
30,"Mostly Idle",4,8,1.3333,5080,0,0,4,0,6
