player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,2,0,0,1503,0,0,2,0,3
2,Regular,2,0,0,2705,0,0,2,0,1.5
3,Hardcore,1,1,0,323,0,0,1,0,5
4,Hoarder,1,1,0,1352,0,0,1,0,3
5,"Early Locker",1,1,0,271,0,0,1,0,6
6,"Late Deployer",1,1,0,175,56,0,0,1,8
7,Boost-Focused,1,1,0,274,56,0,0,1,7
8,Star-Focused,1,1,0,1372,0,0,1,0,1
9,"Aggressive Sigil User",0,2,0,0,0,0,0,0,0
10,"Mostly Idle",0,2,0,0,0,0,0,0,0
